CourseNumber,CourseTitle,CourseDescription,CourseDepartment
GSLL 50,First-Year Seminar: Literary Fantasy and Historical Reality,The intersection of literary fantasy with historical reality considered in two ways: (1) fantastic-looking tales based on historical reality; and (2) stories describing fantastic situations that actually came true. Previously offered as GERM 50.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 51,First-Year Seminar: Stalin and Hitler: Historical Issues in Cultural and Other Perspectives,"Critical issues that dominated the 20th century: WWI and Bolshevik Revolution; rise of fascism, Lenin, Stalin, Hitler and their roles; origins and evolution of Cold War; collapse of Eastern Bloc. Previously offered as GERM 51.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 52,First-Year Seminar: Nature and Death: Ecological Crises in German Literature and Film,"This seminar explores ecological crises and their depiction in German literature and film. We will focus on the central themes of nature and death. The texts and films we will discuss will range from early Romantic fairy tales to present-day documentaries and climate-change literature (cli-fi). We will encounter (human) animals in crisis. Together, we will face nuclear catastrophes, flooding, landslides, mass extinction, and climate change. Films with English subtitles; readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 53,"First-Year Seminar: Early Germanic Culture: Myth, Magic, Murder, and Mayhem","Introduction to pre-Christian culture of Germany, Anglo-Saxon England, and Scandinavia from the late Roman Empire through the Viking Age, as preserved in myths, sagas, charms, inscriptions, and historical documents. Previously offered as GERM 53.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 54,"First-Year Seminar: Once upon a Fairy Tale: Fairy Tales and Childhood, Then and Now","Fairy tales from different national traditions and historical periods read through various critical lenses, against a backdrop of changing historical conceptions of the child. Works from Grimm, Anderson, Brontë, Disney, etc. Students may not receive credit for both GSLL 54 and GERM 279/CMPL 279. Previously offered as GERM 54.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 55,"First-Year Seminar: Fantasies of Rome: Gladiators, Senators, Soothsayers, and Caesars","Introduces students to study of humanities by examining how the idea of Rome evolved through poetry, history, philosophy, opera, even forgery into a concept that has long outlasted the Romans. Previously offered as GERM 55.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 56,"First-Year Seminar: Germans, Jews, and the History of Anti-Semitism","This course seeks to explore the historically difficult position of minorities in the modern world, using the situation of Jews in Germany from the 18th century to the Holocaust as a case study. Previously offered as GERM 56.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 58,First-Year Seminar: Love in the Middle Ages,"Examines development of notion of love from antiquity through Middle Ages to today. Discusses marriage, adultery, violence, power, gender roles. Introduces the study of humanities through reading, analysis, and research. Previously offered as GERM 58.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 59,First-Year Seminar: Moscow 1937: Dictatorships and Their Defenders,Stalinist Soviet Union serves as a case study to examine how dictatorships develop and how they tend to be enveloped in justifications and kept in existence by outside observers. Previously offered as GERM 59.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 60,"First-Year Seminar: Avant-Garde Cinema: History, Themes, Textures","Students explore the international history, filmic techniques and cultural meanings of non-narrative cinema of the 20th century. Students also transform in-class discussions and individual essays into video projects. Previously offered as GERM 60.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 63,First-Year Seminar: Performing America,"The intersection of performance in a theater space and in everyday life will serve as a springboard to investigating the diversity of contemporary America. Examines how race, class, religion, sexuality, sexual orientation, history, and death are performed in America today. Previously offered as GERM 63.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 65,"First-Year Seminar: German Heroes? Knights, Tricksters, and Magicians",This course seeks to explore literary heroes in European literature from the Middle Ages to the Enlightenment. We will discuss concepts of heroism and how those ideas have changed over time. Previously offered as GERM 65.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 67,"First-Year Seminar: Blackness in the European Imaginary, Europe in the Black Imaginary","This seminar deals with how encounters between Europe and the African Diaspora have changed notions of race, nation, identity, and belonging in the 20th century. Through engaging with diverse texts--literary, nonliterary, and visual--we will explore the construction of blackness in various national and historical contexts. Previously offered as GERM 67.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 68,"First-Year Seminar: Intensity, Vitality, Ecstasy: Affects in Literature, Film, and Philosophy","This course focuses on three powerful affective states that challenge the conception of humans as autonomous, independent beings: intensity, vitality, and ecstasy. We will examine both philosophical and artistic representations of these particular states, focusing on the way in which they both endanger and enrich our experience of the world. Previously offered as GERM 68. Honors version available.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 69,First-Year Seminar: Laughing and Crying at the Movies: Film and Experience,"Why is it that we cry at the movies? We will focus on the melodrama but also look at comedy and horror to think about emotional responses to films. Students will learn the basics of film analysis, gain an overview of genre cinema, and study approaches to emotion, affect, and the body.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 70,"First-Year Seminar: Teenage Kicks: Race, Class, and Gender in Postwar Youth Cultures","This seminar investigates youth cultures from the 1940s to the present in the United States and around the world.  It offers students a history of how different youth cultures developed over time, and consideration of how the constitution of youth cultures has been influenced by factors like race, class, and gender.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 75,First-Year Seminar: The Book of Books: Literature and the Bible,This seminar examines the influence the Bible had on great works of Western literature and traces this powerful literary tradition through different cultures and historical periods. Readings and discussions in English.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 76,First-Year Seminar: Uncharted Territory: Underworlds in Literature and the Visual Arts,"This course examines concepts and representations of underworlds in literature and the visual arts from the ancient world to the Middle Ages and Renaissance to modernity. Our journey will take us to the realms of the afterlife as well as into the abyss of the human psyche and the shady areas of underground criminal activities. We will explore how the desire to know the beyond has triggered people's imagination, inspired literary and artistic traditions.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 80,Not Just Dogs: Animals in Russian Literature,"This course explores the question of the animal in the works of major Russian writers (Gogol, Dostoevsky, Tolstoy, Turgenev, Chekhov, Platonov).  Among the topics to be discussed are:  The animal as the other; animal and human natures: dominance and submission, ethics of human/animal relations, and the trope of ""talking"" animals.  Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 81,First-Year Seminar: Metaphor and the Body,"All human beings inhabit a physical body, with inherent oppositions of inside/outside, up/down, and left/right. This course examines bodily experience as the wellspring of meaning. Previously offered as SLAV 81.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 82,First-Year Seminar: Doctor Stories,"Explores and reflects on the experience and significance of being a doctor in Russia and the United States, analyzing ""doctors' stories"" presented in fiction, nonfiction, film, and other media. Previously offered as SLAV 82.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 83,"First-Year Seminar: We, Robots: Identifying with our Automated Others in Fiction and Film","The word ""robot"" was invented by Czech author Karel Capek in 1920. Science fiction has had a long-running obsession with robots. Fiction and film dream up robots who have mastered and often surpassed the strange art that is being human. In this class, we will read and watch stories about robots from East and Central Europe, with occasional detours into American culture. Films with English subtitles; readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 84,First-Year Seminar: Terror for the People: Terrorism in Russian Literature and History,Terror was used as a political weapon in 19th-century Russia. This seminar introduces the terrorists through their own writings and fictional representations in novels by Fyodor Dostoevsky and Joseph Conrad. Previously offered as SLAV 84.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 85,First-Year Seminar: Children and War,"Readings for this seminar include children's wartime diaries, adult memoirs of child survivors, and fiction from Central and Eastern Europe. Previously offered as SLAV 85.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 87,First-Year Seminar: Literature Confronting Totalitarianism,"What is totalitarianism?  Can a portrayal of suffering, even death, under a totalitarian state, have artistic value, or must it remain only a political pamphlet? This seminar studies authors who reveal the crimes of totalitarianism, while also showing the moral strength and/or weaknesses of humans victimized by the totalitarian state.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 88H,First-Year Seminar: Gender and Fiction in Central and Eastern Europe,"An introduction to the region, this course examines the role of gender in central and east European literature from the end of the 19th century to contemporary times.  Course materials include novels, films, historical readings, and essays.  Readings and class discussions in English. Previously offered as SLAV 88H.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 89,First-Year Seminar: Special Topics in Germanic and Slavic Languages and Literatures,Special topics course.  Content will vary each semester.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 212,"""Game of Thrones"" and the Worlds of the European Middle Ages","This course offers a historical perspective on the adaptation of medieval culture in ""Game of Thrones."" We will focus on topics such as family, politics, religion, violence, gender, slavery, outcasts, knighthood, travel, heroes, myths, and magic. Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 218,Christianity and Islam in the Middle Ages,This course draws on a variety of cultural documents to explore both the conflict and cross fertilization between the Christian and Islamic cultures of the Middle Ages. Readings and discussions in English. Previously offered as GERM 218.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 225,Popular and Pious: Early Modern Jewish Literature,"This seminar covers popular and pious literature written by and for Jews in the 15th to 18th century in German-speaking countries. Originally written in Old Yiddish, this literature preserved the popular European genres and nonfiction accounts of Jewish community and family life. Previously offered as GERM 225.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 246,Reality and Its Discontents: Kant to Kafka,"An examination of ""reality,"" as defined and redefined by Kant and his successors, in the context of European culture of the late 18th, 19th, and early 20th centuries. Readings and discussions in English. Previously offered as GERM 246.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 252,South Africa in Literary Perspective,"Course aims at an understanding of the South African experience as represented by that country's important writers. Readings include works by Gordimer, Coetzee, Mphahlele, Breytenbach, Fugard, Ndebele, Paton, la Guma. All materials in English. Previously offered as GERM 252.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 254,"The Division of Germany, Reunification, and Conflict with Russia","Why was occupied Germany divided into two states after World War II? Were the Cold War and division inevitable? We explore these questions in two chronological contexts: 1945-1949 and 1989-present, with emphasis on the reemergence of Western conflict with Putin's Russia. Readings and discussions in English. Previously offered as GERM 254. Honors version available.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 255,"Germany and Cold War: Occupation, Division, Reunification, Renewed Conflict with Russia (1945-Today)","This course investigates the central role played by the ""German question"" in the break-up of the wartime alliance, the emergence of East-West political blocs, the subsequent dissolution of the USSR, and the return to new Russian-Western antagonisms. Readings and discussions in English. Previously offered as GERM 255.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 259,Ideology and Aesthetics: Marxism and Literature,This seminar provides students with a general introduction to Marxist thought with particular attention to its critical importance for interpreting the role of ideology in modern literature. Readings and class discussions in English. Previously taught as GSLL 251.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 260,"From Berlin to Budapest: Literature, Film, and Culture of Central Europe","Central Europe, at the center of dramatic historical changes--WWI, emergence of independent nation states, WWII and Holocaust, Communism and its end, incorporation into the European Union--produced unprecedented cultural results. The creative voices of writers and filmmakers have relevance far beyond this region.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 268,"Cultural Trends in Post-Communist Central Europe: Search for Identity, Importance of Jewish Voices",We will study how contemporary literary and cinematic works of Central European intellectuals serve as reflections on the everyday life of this region. Readings and class discussions in English. Films with English subtitles.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 269,Springtime for Hitler: Jews on Stage from Shakespeare to Mel Brooks,"This course examines the roles and representations of Jews in the world of the theater from Shakespeare's The Merchant of Venice to the present, considering dramas, operas, musicals, film adaptations, and films.  Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 270,German Culture and the Jewish Question,"A study of the role of Jews and the ""Jewish question"" in German culture from 1750 to the Holocaust and beyond. Discussions and texts (literary, political, theological) in English. Previously offered as GERM 270.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 271,Vampires and Empires,"An examination of the vampire in the visual and verbal cultures of Central and Eastern Europe, and the popular adaptation of ""vampirism"" in the West.  All materials and discussions in English. Previously offered as HUNG 271.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 272,"Poland, Russia, and Germany through the Prism of Film","Explore the relationship between Poland, Russia, and Germany from World War II until the present day, through films and readings that cover World War II, the fall of Communism in Europe, the Holocaust and the post-war situation of Jews, religious faith, Putin's politics, women's rights, and the current refugee situation in Germany.  Film directors include Balabanov, Becker, Fassbinder, Kalatozov, Holland, Mikhalkov, Polanski, Wajda, and Wenders.  Readings and class discussions in English. Films with English subtitles.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 273,Close Your Eyes and See a Film: The Documentary in Central Europe,"Aesthetic experiment, agit-prop tool, and instrument of social critique: documentary film is a flexible form. In the Socialist Bloc, documentary was sanctioned by the state but often used to undermine state power. This course is a survey of Polish, Czech, Yugoslav and Hungarian documentary film. We will explore studio productions alongside home movies, amateur films, and art films. Does documentary simply record reality, or can it change reality too? Readings & discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 274,Representing the Holocaust: Mediating Trauma in Art and Theory,"This course will explore artistic mediations of the Holocaust in literature, film, and beyond. It focuses on questions of representation, authenticity, appropriateness and uniqueness, the role of memory, the problems and limits of language in articulating the Shoah, and issues of trauma and justice. Readings and class discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 277,"The Moon in Song, Story, and Science: Mentored Research Projects in Cultural History",Consideration of our satellite both as a natural object that can be investigated scientifically and as a cultural object that has been the subject of highly varied treatments in poems and stories throughout human history. Students engage in mentored research culminating in a substantial essay. Readings and discussions in English.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 278,"Music, Image, Text","This course examines the relationship between text, music, and the visual arts, focusing on the way in which nonliterary aesthetic content may both mediate and call into question cultural values.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 279,A River Runs Through It: Cultural Geography Through Imaginative Literature,"This course looks at cultural geography through the lens of literature about rivers. After a brief survey of the world's major rivers and a short dive into the way environmental science seeks to understand rivers, classes are devoted to poems, stories, novels, histories, and even science fiction about rivers. Students engage in mentored research culminating in a substantial essay. Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 280,The Dialectic of Whiteness and Blackness in Atlantic Cultures,"Traces the invention of race, racism, and discourses of cultural inferiority/superiority throughout Western culture. What historical events created the necessity for racist thinking? How did colonialism and transatlantic migration change Atlantic cultures? Why did black culture become fashionable? Is the 21st century ""post-racial""? Readings and course descriptions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 281,Holocaust Cinema in Eastern Europe,"A critical look at varieties of cinematic representation and memorialization of the Holocaust, from those countries of Europe where it mostly took place. Taught in English. All films in (or subtitled in) English. Previously offered as SLAV 281.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 282,Afropessimism in American and European Film,"Scholars of Afropessimism argue that we are not living in the age of post-slavery, but in the ""afterlife of slavery"" and that Blacks exist outside of the world, because the social world is held together by anti-Blackness. This argumentation has had important effects within Black German and Black European Studies. This course seeks to explore these philosophical claims, by comparing American films with European films that deal with anti-Black racism.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 283,Hungarian Cinema since World War II,An introduction to Hungarian society and culture since the end of World War II through a selection of film classics. Films with English subtitles. Readings and discussions in English. Previously offered as HUNG 280.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 284,Philosophy and the Arts,"This course examines the different ways in which philosophical texts and works of art presuppose, articulate, and call into question cultural norms and values, with a special emphasis on conceptions of selfhood in various philosophical movements (for example, in Existentialism, the Enlightenment, Romanticism, etc.).",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 285,Dissent and Protest in Central Europe,"This course examines cultures of dissent and protest in Central Europe, including student protests of the 1960s and the fall of Communism in 1989. Materials include literature, film, music, theatre, and popular culture from Czechoslovakia, East Germany, West Germany, Hungary, and Poland. Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 286,The Upright and the Toppled: Public Lives of Monuments in Europe and the American South,"Recent years have seen a worldwide push for emancipatory acts of iconoclasm: calls to ""topple"" monuments as emblems of social oppression. This course examines cases of contested and demolished monuments in contexts close to home (the Carolina campus) and geographically remote (Poland, Prague). If demolishing a monument can be a violent act, how might visual objects in public space exert their own forces of violence? Readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 287,Into the Streets: 1968 and Dissent in Central Europe,"Protest movements of 1968 are often remembered as one ""planetary event."" In Western Europe, protesters demanded revolution, while in Eastern Europe, protesters living under communism demanded reform. In this course, we will explore dissent and counterculture in Central Europe through the lens of 1968. Through film and fiction from Poland, Yugoslavia, Czechoslovakia, and Hungary, we will investigate the impact of the Central European '68(s) worldwide. Films with English subtitles; readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 288,Graphic Medicine: The Intersection of Health and Comics,"We will explore the unique possibilities of comics in the form of graphic medicine: namely comics that thematize physical and mental health. How do comic artists work through issues of trauma and pain? How do artists with chronic illness and disabilities articulate their experience through comics? This course engages with the Medical Humanities, seeking to bring together students of medicine along with students of the humanities to contemplate how we communicate physical and mental illness.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 295,"Research, Creativity, and Innovation in the Humanities","This course serves as an introduction to research methodologies, theories, and the university resources available to students seeking to perform cutting-edge research in the humanities. The goal of the course is to produce a substantial research project. The capacities developed in this course as well as the project itself could be used as the basis for grants, scholarships, internship applications, or an honors thesis. Taught in English. Honors version available.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 306,Language and Nationalism,"This course focuses on language, identity, and nationalism in contemporary societies, with special emphasis on Europe, Africa, Asia, and the United States. Previously offered as SLAV 306.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 465,Literature of Atrocity: The Gulag and the Holocaust in the Soviet Union and Eastern Europe,Historical contexts and connections through artistic representation of the Holocaust and Soviet terror in Eastern Europe and the USSR. Taught in English; some foreign language readings for qualified students.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 467,Language and Political Identity,This course examines the roles of language policy and linguistic controversies in determining national identity and fueling political polarization. It focuses primarily on Western and Eastern Europe and Central Asia. Previously offered as SLAV 467.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 475,Magical Realism: Central European Literature in a Global Context,This course studies magical realism in Central European literature and film by placing it in a global literary/cinema context. Readings and discussions in English.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 480,Interrogating Cultures of Fascism: Introduction to Frankfurt School's Critical Theory 1923-Present,"This research-intensive seminar for advanced undergraduates covers the history of the Frankfurt School as well as the scope of its theory for contemporary social, political, and cultural analysis. Taught in English; some readings in German for qualified students. Students must have junior or senior standing or have permission of the instructor.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 481,Grand Hotels and Empty Fields: Inventing Central Europe through Culture,"Does Central Europe exist? It is a region with shifting borders, diverse languages, and a complex history. In this course, we will explore stories that invent fictional countries in Central Europe from the mist-shrouded mountains of Wes Anderson's Zubrowka to Ursula Le Guin's invented realm of Orsinia. We will also read work by writers from within the region who mythologized their home environments. Films with English subtitles; readings and discussions in English.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 489,GSLL Across the Curriculum (LAC)," This one-credit hour class aims to develop and facilitate conversational skills in a Germanic or Slavic language in the context of the current political, economic, and cultural climate. Knowledge of the language of instruction at the upper-intermediate level required.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 490,Topics in Germanic and Slavic Languages and Literatures,"Examines selected themes in the history, culture, society, art, and/or literature of Germanic and Slavic/East European countries.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 496,Independent Readings in Germanic and Slavic/East European Studies,"Special readings and research in a selected field or topic related to Germanic and Slavic/East European Studies, under the direction of a faculty member.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 560,Reading Other Cultures: Issues in Literary Translation,"Permission of the instructor. Reading knowledge of a language other than English recommended. Starting from the proposition that cultural literacy would be impossible without reliance on translations, this course addresses fundamental issues in the practice, art, and politics of literary translation. Previously offered as SLAV 560.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 683,Moving-Image Avant-gardes and Experimentalism," History and theory of international avant-garde and experimentalist movements in film, video, intermedia, multimedia, and digital formats. Content and focus may vary from semester to semester. Previously offered as GERM 683.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 691H,Honors Course,Permission of the director of undergraduate studies. For majors only. Reading and special studies under the direction of a faculty member.,GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 692H,Honors Course,"Permission of the director of undergraduate studies. For majors only. Reading and preparation of an essay under the direction of a faculty member, designed to lead to the completion of the honors thesis.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GSLL 693H,Honors Seminar,"Permission of the director of undergraduate studies. For majors only. Introduction to research techniques and preparation of an essay, designed to lead to the completion of the honors thesis.",GERMANIC AND SLAVIC LANGUAGES AND LITERATURES
GLBL 87H,First Year Seminar: The Migratory Experience,"The seminar will critically analyze the migrant experience in both North America and Europe. Migration is a calculated decision that individuals, families, and groups make in an effort to improve their living conditions. We will adopt an interdisciplinary approach to understanding the motivation of migrants, the nature of the migrant journey to their destination states, and their integration into their new societies.",GLOBAL STUDIES
GLBL 88,"First-Year Seminar: Beg, Borrow, and Steal: The Political Economy of Aid, FDI, and Corruption","This seminar examines how politics and economics condition different countries' path towards and experience with foreign aid, foreign investment, and corruption. In doing so, the course will examine the effect of political conditions on economic outcomes and the effect of economic conditions on political outcomes.",GLOBAL STUDIES
GLBL 89,First-Year Seminar: Special Topics,Special topics course.  Content will vary each semester. Honors version available.,GLOBAL STUDIES
GLBL 110,Global Policy Issues,"Global issues are challenges whose sources, impacts, and solutions extend beyond the borders of any one country. This course introduces students to some of the most pressing issues facing populations around the globe and to possible policy responses. Honors version available.",GLOBAL STUDIES
GLBL 181,Teaching Great Decisions I,Permission of the department. This course gives credit to the Great Decisions coordinating committee for organizing the eight lectures in GLBL 381.,GLOBAL STUDIES
GLBL 193,Global Studies Internship,Internship in a sponsoring organization whose work or mission is meaningfully connected to a global studies topic.,GLOBAL STUDIES
GLBL 196,Independent Study,Permission of the instructor. Reading and research on special topics in global studies.,GLOBAL STUDIES
GLBL 210,Global Issues and Globalization,"Survey of international social, political, and cultural patterns in selected societies of Africa, Asia, America, and Europe, stressing comparative analysis of conflicts and change in different historical contexts. LAC recitation sections offered in French, German, and Spanish.",GLOBAL STUDIES
GLBL 221,The Migratory Experience,"The course will critically analyze the migrant experience in both North America and Europe. Migration is a calculated decision that individuals, families, and groups make in an effort to improve their living conditions.  We will adopt an interdisciplinary approach to understanding the motivation of migrants, the nature of the migrant journey to their destination states, and their integration into their new societies.",GLOBAL STUDIES
GLBL 281,Phillips Ambassadors Program,This academic course is mandatory for Phillips Ambassadors. Course open only to Phillips Ambassadors.,GLOBAL STUDIES
GLBL 282,Global Gap Year Seminar,This course is mandatory for Global Gap Year Fellows and is only open to Global Gap Year Fellows.,GLOBAL STUDIES
GLBL 290,Current Topics in Global Studies,"An interdisciplinary approach to the study of the background, current status, and future prospects for one of a series of global issues such as the nuclear age, the environment, technological transition.",GLOBAL STUDIES
GLBL 381,Great Decisions,"Eight evening guest lectures, with a discussion session after each, on eight issues in current foreign policy. May be repeated for credit. Students may not receive credit for both GLBL 381 and POLI 381.",GLOBAL STUDIES
GLBL 382,Latin American Migrant Perspectives: Ethnography and Action,"This class combines fieldwork, oral history, and service learning in a course that examines concepts of globalization, migration, and transnationalism, and their intersections with anthropological theory and practice.",GLOBAL STUDIES
GLBL 383,Global Whiteness,"This course looks at race as a theory and practice as it has been constructed in academic disciplines, popular culture, and social struggle.",GLOBAL STUDIES
GLBL 390,Current Topics in Global Studies,Topics vary from semester to semester.,GLOBAL STUDIES
GLBL 394,Teaching Great Decisions II, This course links the Great Decisions lecture series with readings and analyses of international relations. Its purpose is to provide the students on the Great Decisions coordinating committee with a practical and intellectual engagement with United States foreign policy and global issues.,GLOBAL STUDIES
GLBL 401,Right Wing Populism in Global Perspective,"This course will examine right wing populism globally. We will consider why right wing populism has gained traction in such diverse places as India, Brazil, Germany, France, Hungary, Britain, and the United States. We will ask what role such factors as religion, ethnicity, economics, and gender play in its rise. Honors version available.",GLOBAL STUDIES
GLBL 413,Socialist and Decolonial Ecologies," This course will focus on the relation of capitalism and anthropogenic climate change and feature Marxist and Indigenous critiques of capitalism's responsibility for climate change. We will feature an interdisciplinary lens - philosophy, feminist geography, cultural anthropology, socialist economics - that will analyze how the anthropocentric subject of the Enlightenment separated itself from its natural environment.",GLOBAL STUDIES
GLBL 415,"Dealing with Difference: Criminal Justice, Race, and Social Movements in Globalization","Recommended preparation, GLBL 210. This course is dedicated to understanding how sameness and difference are used and contested globally, in particular through the criminal justice system and its intersection with race and capitalism. The course pays particular attention to popular social movement responses, and what they say to theories of difference, globalization, and social change.",GLOBAL STUDIES
GLBL 450,"Social Change in Times of Crisis: Knowledge, Action, and Ontology","Examines dominant, alternative, and emergent narratives of change and the future from around the world. Takes as a premise that we live in a period of multidimensional crises characterized by uncertainty and conflict about how to pursue sustainable economic, ecological, political, social, and cultural projects. Honors version available.",GLOBAL STUDIES
GLBL 481,NGO Politics,"This course will investigate how nongovernmental organizations emerge, how they structure their organizations, how they function, and how they influence public policy. Honors version available.",GLOBAL STUDIES
GLBL 482,Soviet and Post-Soviet Politics and Institutions,"This course is an introduction to the history and contemporary politics of the post-Soviet region and explores topics of religious, ethnic, and identity politics; international influences; and civil society and social movements. Honors version available.",GLOBAL STUDIES
GLBL 483,Comparative Health Systems,This course provides students with an understanding of the origins and comparative performance of a range of international healthcare systems. Honors version available.,GLOBAL STUDIES
GLBL 484,History and Politics of Central Asia,"This course is an introduction of the history, politics, and societies of Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The class explores the foundations and conditions of change in the modern history of these societies and investigates how these issues influence contemporary politics.",GLOBAL STUDIES
GLBL 485,Comparative Development,"This course is an APPLES service-learning course whose goal is to integrate real-world experience working with development-oriented organizations, theoretical discussions about the origins and evolution of development thinking, and exposure to the challenges facing practitioners of development, in some of its many substantive and geographical contexts.",GLOBAL STUDIES
GLBL 486,Sports and Globalization,"This course explores some of the relationships between sports and globalization and will delve into sports as an important social and cultural practice within larger social, cultural, and political forces shaping studies of globalization. Honors version available.",GLOBAL STUDIES
GLBL 487,Social Movements: Rethinking Globalization,"This course explores the history, objectives, and manifestations of global social movements. Honors version available.",GLOBAL STUDIES
GLBL 489,Paradigms of Development and Social Change,By deliberately juxtaposing questions of global development with an investigation of approaches in community organizing locally--both through course material and service-learning assignments--the course encourages students to develop a more critical understanding of the relationship between development projects and emancipatory frameworks. Honors version available.,GLOBAL STUDIES
GLBL 490,Current Topics,Current topics in international and area studies.  Topics vary by semester.,GLOBAL STUDIES
GLBL 491H,Major Controversies in Human Rights,"A forum for exploring conceptual and practical problems related to the emergence of a global human rights regime after World War II. The course analyzes relevant arguments, and students will consider whether it is possible to construct a coherent, workable, universally accepted system for articulating and enforcing human rights norms.",GLOBAL STUDIES
GLBL 492,Global Food Films,"Thinking about one of our most basic human needs illuminates aspects of our own everyday lives, such as our relationship to nature, other cultures, and to history, as well as our general assumptions about humanity. Students will study films that explore cross-cultural differences in the social and philosophical understandings of what it is to be human. Honors version available.",GLOBAL STUDIES
