CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
EPRS 9550,Multivariate Analysis,"Multivariate Analysis3 Credit Hours Prerequisites: EPRS 8550 .Requirements: A minimum grade of “C” is required for this course.    Description Students examine a greater depth of topics taught in Quantitative Methods and Analysis in Education I-III, including additional ANOVA and regression designs. In addition, designs incorporating classification techniques are covered, and students are introduced to factor analysis.",English as a Second Language,GSU
EPRS 9560,Structural Equation Modeling,"Structural Equation Modeling3 Credit Hours Prerequisites: EPRS 8550 .Requirements: A minimum grade of “C” is required for this course.    Description This course introduces research designs and associated statistical analyses for investigating the predictive or explanatory relations among latent variables and observed variables. SPSS is used early in the course, but LISREL is used for most of the statistical analyses in the course.",English as a Second Language,GSU
EPRS 9570,Hierarchical Linear Modeling I,"Hierarchical Linear Modeling I3 Credit Hours Prerequisites: EPRS 8550 .Requirements: A minimum grade of “C” is required for this course.    Description This is the first course in a sequence of two courses (including EPRS 9571 ) designed to provide theoretical and applied understandings of hierarchical linear modeling. Foundational knowledge of HLM is taught by extending knowledge of regression analyses to designs involving a nested data structure. Other basic concepts in HLM are also taught, including intraclass correlation and crosslevel interaction. The course also includes instruction in programming for and interpretation of the output for computer software for conducting HLM.",English as a Second Language,GSU
EPRS 9571,Hierarchical Linear Modeling II,"Hierarchical Linear Modeling II3 Credit Hours Prerequisites: EPRS 9570 . Description This is the second course in a sequence of two courses (including EPRS 9570 ) designed to provide theoretical and applied understandings of hierarchical linear modeling. The foundational knowledge of HLM and the basic designs involving multilevel data are built upon for instruction in advanced applications of HLM in educational research, including cross-classified modeling, growth curve analysis, and meta-analysis. Additional instruction is provided in programming HLM software, interpreting the output from the software, and writing research reports of HLM designs and analyses. The course culminates in a research project that students may want to develop into a dissertation or other potentially publishable work.",English as a Second Language,GSU
EPRS 9820,Advanced Qualitative Data Analysis,Advanced Qualitative Data Analysis3 Credit Hours Prerequisites: EPRS 8520  with a grade of C or higher. Description This course will provide students a chance to continue the development of their analysis skills. It begins with a review of the fundamentals of data analysis and then explores these methods in more detail. Students will bring their own data and practice analyzing them with different theoretical frameworks and analysis methods. The course will also examine ethical and practical considerations of data representation. It is geared to advanced students who have identified (in the Qualitative course sequence) what data analysis method(s) they want to use in an ongoing or future research project. Students will end the course having written a manuscript they can submit.,English as a Second Language,GSU
EPRS 9830,Research Ethics in the Professional and Social Sciences,"Research Ethics in the Professional and Social Sciences3 Credit Hours Prerequisites: Any prior course in the Quantitative or Qualitative sequence with a grade of C or higher. Description This course explores ethical and moral dilemmas researchers have encountered in conducting research in the social, professional, and human sciences and the sources of ethical principles and practices they have used in addressing these dilemmas. Philosophical traditions in ethics from around the world and codes of ethical practice from professional associations, government agencies, and other relevant institutions are examined for their applications to choices researchers make and challenges they face. This course is designed to equip researchers studying human behavior and experience to engage in ethical analysis and concrete ethical problem solving when designing, conducting, analyzing, reporting, and applying research design. It is not intended to provide definitive answers to ethical conundrums, but rather to orient the researcher to the moral complexity inherent in all inquiry and present a collection of tools for navigating ethically ambiguous research situations. Students apply these frameworks to their own and others’ research dilemmas.Drawing from personal experiences and the professional, social, and human science literature, students develop their own principles for ethical research practice.",English as a Second Language,GSU
EPRS 9900,Research Design,"Research Design3 Credit Hours Prerequisites: EPRS 8500  and EPRS 8530 . Description Students study the identification, planning, and implementation of research projects in education.",English as a Second Language,GSU
EPRS 9920,Seminar in Special Topics in Qualitative Research,Seminar in Special Topics in Qualitative Research3 Credit Hours  Description This course is designed for students to research and discuss special topics in qualitative research and analyze issues facing qualitative researchers.     (Repeatable- may be taken as many as three times).,English as a Second Language,GSU
EPSF 7100,Critical Pedagogy,"Critical Pedagogy3 Credit Hours  Description Students learn ways to enhance and stimulate opportunities for democratic schooling. Topics address teaching for social action through community service, critical literacy, multiculturalism, and post colonialism.",Entrepreneurship Minor,GSU
EPSF 7110,Multicultural Education,"Multicultural Education3 Credit Hours  Description Students explore educational reforms in relation to race, ethnicity, culture, gender, and diversity within a democratic framework. Emphasis is placed on examining the economic, political, and social frames that affect the quality of education within a multicultural, social reconstructionist perspective.",Entrepreneurship Minor,GSU
EPSF 7120,Social and Cultural Foundations of Education,Social and Cultural Foundations of Education3 Credit Hours  Description Students analyze the roles of schools in the social order from the perspectives of the humanities and the social sciences.,Entrepreneurship Minor,GSU
EPSF 7450,Curriculum Foundations for the Educational Leader,"Curriculum Foundations for the Educational Leader3 Credit Hours  Description This course prepares students to engage in curriculum design, implementation, and evaluation with a critical focus on social, philosophical, and historical foundations as a basis for that work.",Entrepreneurship Minor,GSU
EPSF 8010,Cultural Studies in Education: Film,"Cultural Studies in Education: Film3 Credit Hours  Description Images of education presented in popular films are analyzed from a variety of perspectives for their representations of such phenomena as school work, knowing, knowledge, and education.",Entrepreneurship Minor,GSU
EPSF 8040,Cultural Studies in Education: Gender,Cultural Studies in Education: Gender3 Credit Hours  Description Students examine the sociocultural relationship between gender and education in U.S. society. Focuses on how schools teach about gender and the ways females and males respond to differing learning contexts.,Entrepreneurship Minor,GSU
EPSF 8260,Sociology of Inner-City Children,"Sociology of Inner-City Children3 Credit Hours  Description Students study problems facing culturally different children. Concepts, problem-solving procedures, and attitudes which aid constructive interaction between culturally different teachers and learners are explored.",Entrepreneurship Minor,GSU
EPSF 8270,Philosophy of Education,"Philosophy of Education3 Credit Hours  Description Students study major philosophical writings, their relation to the roles of students and teachers, and their relation to the aims of schooling. Students develop philosophy positions and research a philosopher of their choice. Findings are presented to the class for discussion and analysis.",Entrepreneurship Minor,GSU
EPSF 8280,Anthropology of Education,Anthropology of Education3 Credit Hours  Description Students study the field of cultural anthropology as it relates to contemporary issues in education. The course focuses on education as a social institution.,Entrepreneurship Minor,GSU
EPSF 8310,Sociology of Education,Sociology of Education3 Credit Hours  Description Students study the myriad relationships between formal systems of education and the dominant characteristics of post-industrial society. Content is derived from current thought and writing in sociology and educational theory and practice.,Entrepreneurship Minor,GSU
EPSF 8320,Politics and Policy in Education,"Politics and Policy in Education3 Credit Hours  Description Students study political and educational policy processes in relation to such problems as globalization and the nation- state, local and community development, social identification and political participation, pressure groups and indoctrination, academic freedom, and school reforms.",Entrepreneurship Minor,GSU
EPSF 8330,Globalization and Education Policy,"Globalization and Education Policy3 Credit Hours  Description This graduate course offers an in-depth examination of the way globalization discourses have an impact on educational policy. Students will analyze debates over the knowledge economy and globalizing the curriculum. Case studies from selected nation-states will be used to enhance understandings of educational policy borrowing and lending, privatization in education, international benchmarking and testing, citizenship and social exclusion, and policy modeling in non-governmental organizations (NGOs).",Entrepreneurship Minor,GSU
EPSF 8340,History of American Education,History of American Education3 Credit Hours  Description Students examine American educational thought and practice emphasizing developments in the nineteenth and twentieth centuries. Special attention is paid to recent works in the field which emphasize the social purpose and context of the U.S. public school.,Entrepreneurship Minor,GSU
EPSF 8350,Comparative Educational Systems,"Comparative Educational Systems3 Credit Hours  Description This graduate course offers a study of comparative educational systems around the globe. Students will examine the structural systems of educational provision in various countries. Topics also include theory in comparative education, educational reform policies, culture and equality in schooling, challenges to early childhood care, and international aid and human rights for education.",Entrepreneurship Minor,GSU
EPSF 8360,History and Politics of Curriculum,History and Politics of Curriculum3 Credit Hours  Description Students analyze the history and politics of curriculum through an examination of the enduring ideological debates as well as from the perspectives of educational leaders in the curriculum field.,Entrepreneurship Minor,GSU
EPSF 8440,Curriculum Design and Analysis,"Curriculum Design and Analysis3 Credit Hours  Description This course prepares students to lead a school in curriculum design, implementation, and evaluation with a critical focus on social, philosophical, and historical foundations as the basis for that work.     May be repeated if topics vary.",Entrepreneurship Minor,GSU
EPSF 8630,Critical Policy Studies,Critical Policy Studies3 Credit Hours  Description This course describes and clarifies the domains constitutive of critical policy studies as a field that: explores policy documents in order to change educational practices toward social justice; questions who benefits most from particular social arrangements; and reveals the degrees to which education policy is inherently political.,Entrepreneurship Minor,GSU
EPSF 8640,Critical Race Theory and Urban Education,"Critical Race Theory and Urban Education3 Credit Hours  Description Critical race theory is a tradition that explores issues of race and racial power. It is a tradition that takes seriously the need to historically ground understandings of racial identity and the dynamics of present-day racial projects. Not without significance, critical race theory also emphasizes social transformation of racially oppressive ideologies and institutions, including schools. Drawing upon key writings in the field of law and critical race scholarship in urban education, this course explores a range of key themes, questions, and practices relevant to challenging racial inequities.",Entrepreneurship Minor,GSU
EPSF 8820,Policy in Teaching and Teacher Education,"Policy in Teaching and Teacher Education3 Credit Hours  Description Seminar focused on policy and politics in the context of K-12 schooling and teacher education. With criticality at the center, students examine theories of competing conceptions of policy across federal, state, and local levels in these two arenas. Past and current policy practices are considered.",Entrepreneurship Minor,GSU
EPSF 9260,Epistemology and Learning,"Epistemology and Learning3 Credit Hours Requirements: A minimum grade of “C” is required for this course.    Description Students investigate definitions of knowledge and theories of knowledge in the process of developing their own epistemology positions. Knowledge claims are evaluated in relation to multiple ways of learning, and students present their ideas to the class for consideration and critique.",Entrepreneurship Minor,GSU
EPSF 9850,Historical Research in American Education,"Historical Research in American Education3 Credit Hours Requirements: A minimum grade of “C” is required for this course.    Description Students study selected problems and issues in American education. Primary and secondary source materials are used, and students present their findings to the class for discussion and critique.",Entrepreneurship Minor,GSU
EPSF 9930,Philosophical Analysis and Method,"Philosophical Analysis and Method3 Credit Hours Requirements: A minimum grade of “C” is required for this course.    Description Students explore cogent reasoning, logic, and conceptual analysis. Students apply each area to research questions of their interest and present their work to the class for examination and debate.",Entrepreneurship Minor,GSU
EDB 9000,Leadership To Create Human Value,"Leadership To Create Human Value3 Credit Hours  Description Leadership is critical for creating and sustaining value in organizations. The academic investigation of leadership focuses on: 1) What is leadership? 2) What are human values? 3) What is the relation between leadership and human values? The course examines these questions to help students untangle concepts of leadership, authority, and status; understand the competing human values in leadership theories; identify the boundary conditions that pertain to leadership theories; and strike an appropriate balance between learning about leadership and learning to lead. The course favors the practical over the theoretical and focuses on theories supported by evidence, including adaptive leadership, transformational leadership, transactional leadership, and competing values leadership.",Exceptional Children,GSU
EDB 9020,Philosophy and Practice of Engaged Scholarship,"Philosophy and Practice of Engaged Scholarship3 Credit Hours  Description This course explores the different forms of engaged scholarship. It focuses on the research process that can enable students to generate both scholarly contributions and practical knowledge, which is at the core of Robinson’s Executive Doctorate program. The course is designed to enable students to develop a research focus and understand the research process. It examines the roles of theory and models in the research process and the differences between variance and process models. Students learn how to formulate a problem, motivate a research question, synthesize relevant literatures, draw on relevant theoretical perspectives, and develop variance and process models.",Exceptional Children,GSU
EDB 9030,Theory and Practice of Managing Organizations,"Theory and Practice of Managing Organizations3 Credit Hours  Description This course examines the theory and practice of managing collaboration and change in organizations. The focus is on achieving coordination and cooperation among autonomous and self-interested, yet interdependent parties. Dominant management and organization theories are examined and applied to real-world issues within different industrial contexts. The course introduces the students to a select variety of theoretical frameworks, it investigates the possible roles of such frameworks in designing engaged scholarship research, and it engages all students in exploring specific management and organization theories that are relevant for their research interests.     (Repeatable).",Exceptional Children,GSU
EDB 9040,Emerging Markets and Global Models for Business,"Emerging Markets and Global Models for Business3 Credit Hours  Description This course examines how globalization impacts market intelligence analysis, organization design, and business operation with a focus on differences in business models and practices around the globe. The course is designed to help students appreciate and analyze how cultural, political, and economic systems in emerging markets impact international business activities. The course examines key players in emerging markets, makes comparisons to developed markets, and assesses the informational and institutional voids that exist. It explores how managers can develop strategic alliances that may be employed to create competitive advantage. Emerging markets in regions such as the Americas, Eastern and Central Europe, Asia, and Middle East-North Africa will be examined in more detail.",Exceptional Children,GSU
EDB 9050,Qualitative Research I,"Qualitative Research I3 Credit Hours  Description This course introduces the student to qualitative research approaches, including action research, case study research, ethnographic research, and grounded theory. Relative strengths and weaknesses are discussed along with examples of how each approach has been used in practice. The course introduces several data collection techniques that are widely used in qualitative research, namely interviews, participant observation, fieldwork, and using documents. Research design issues associated with qualitative or small sample studies are discussed. Issues such as reliability and validity are explored. The differences between positivist, interpretivist, and critical perspectives are discussed. In addition, students are introduced to the Institutional Review Board (IRB) Process.",Exceptional Children,GSU
EDB 9060,Global Economic Systems & Issues,"Global Economic Systems & Issues3 Credit Hours  Description This course provides a framework to understand global macroeconomic developments and their effects on businesses. These global developments include: the growth process countries have followed and the various policies that have been implemented; interest rates, exchange rates in international settings, and asset prices in the global economy; causes and consequences of trade deficits and external imbalances; emerging market economy’s financial crises; causes of currency, banking and financial crises in emerging market and advanced economies; short- and long-term effects of monetary and fiscal policy; the drive to reform the international financial architecture; and, the role of international economic institutions like the IMF, the World Bank, and the World Trade Organization.",Exceptional Children,GSU
EDB 9061,Business Topics and Theory,"Business Topics and Theory3 Credit Hours  Description In depth understanding of a business topic and related theory is critical for positioning and developing a doctoral dissertation in business administration. The purposes of this course are 1) to provide each student with requisite methods for identifying, reviewing and representing a specific business topic and related theory and 2) to guide each student in a study of a select business topic and related theory suitable for a dissertation study. The course is organized as a combination of seminars that focus on 1) state-of-the-art methods, including systematic reviews, and presentations of business topics and related theory in the academic business literature and 2) individual projects that focus on a select topic and related theory that can inform the student’s dissertation research.",Exceptional Children,GSU
EDB 9070,Qualitative Research II,"Qualitative Research II3 Credit Hours  Description This course provides concepts and tools for qualitative data analysis. The course exposes students to a variety of approaches, including hermeneutics, semiotics, narrative analysis, and content analysis, with particular emphasis on grounded theory and case study research. Students are introduced to grounded theory coding, memo writing, theoretical sampling, saturation, sorting, and use of qualitative data analysis software. Various techniques for analyzing case study evidence are explored including pattern matching, explanation building, and within-case and cross-case analysis. Perspectives on what it means to draw conclusions and build theory from qualitative data are explored. The course concludes with guidance on how to write and publish qualitative research.     (Repeatable in different areas).",Exceptional Children,GSU
EDB 9080,Quantitative Research 1,"Quantitative Research 13 Credit Hours  Description This course provides students with a command of the core concepts and tools needed to design quantitative studies and to collect, evaluate and analyze quantitative data. The course covers empirical data collection methods, such as surveys. It also covers sampling techniques, various types of data and appropriate analytical techniques. These include an introduction to univariate and bivariate statistics (i.e., chi-square, t- and z- tests, the ANOVA family, correlation, and regression). In addition, the course helps students gain proficiency in using SPSS software to analyze and interpret empirical results.",Exceptional Children,GSU
EDB 9100,Quantitative Research II,"Quantitative Research II3 Credit Hours  Description This course introduces students to quantitative methods such as experiments, field studies, and use of secondary data. It strengthens student’s ability to design and execute quantitative research with an emphasis on construct measurement (i.e., development of measurement scales associated with key variables of interest) and topics such as theoretical modeling, framing research questions, developing hypotheses, model refinement, reliability, scientific validity, and statistical conclusion validity. The course reinforces the knowledge base developed in Quantitative Research I (EDB 9080 ) with focus on univariate, bivariate and multivariate statistics (t-test, the ANOVA family, correlations, factor analysis, and OLS regression), nonparametric statistics, and structural equation modeling.",Exceptional Children,GSU
EDB 9110,Influences and Limitations on Executive Decision Making,"Influences and Limitations on Executive Decision Making3 Credit Hours  Description Although executives make decisions continually, many are unaware of the hidden, yet substantial influences that cognitive and organizational factors have on the processes they follow and the outcomes that result. This course examines the human factors that influence and guide executive decision making. It also explores organizational influences on executive decisions, including organizational structure, and social and political forces. It investigates the actions executives can take if they seek to address their human limitations and organizational limitations affecting their executive responsibilities.",Exceptional Children,GSU
EDB 9120,Evidence-Based Management,"Evidence-Based Management3 Credit Hours  Description This course develops the student’s knowledge and skills related to the role of scientific and organizational evidence in management thinking and decision making. Students will learn to recognize management practices based on habit, fads, convention and unrealistic levels of confidence and how to improve these practices with principles based on relevant scientific findings and unbiased organizational facts. Students will learn how to: identify, access, and use an organization’s data challenges; create decision-making information from organizational facts; and find, appraise, interpret and apply scientific evidence as managers.",Exceptional Children,GSU
EDB 9130,Ethical Issues Confronting Contemporary Business Leaders,"Ethical Issues Confronting Contemporary Business Leaders3 Credit Hours  DescriptionThis course is cross-listed with PSYC 9320 . This course examines ethical issues confronting contemporary business leaders on different levels, including the individual, the group, the organization, the industry, and society. Course content is applied to students’ experiences grounded in the assumption that ethics principally concerns cooperative behavior-abiding by rules, conventions and principles; acting in the interest of both self and others; and exploring and determining with others ends and appropriate means. Considering ethics as a potentially important dimension of every human activity, the course examines different types of cooperation and different forms of ethical inquiry that enable human flourishing. As such, this course strives toward developing comprehensive ethical expertise for business leaders.",Exceptional Children,GSU
EDB 9140,Laboratory for Business Driven Research,Laboratory for Business Driven Research3 Credit Hours  DescriptionThis course is cross-listed with PSYC 9330 . This course is a workshop-oriented forum in which students will meet with their peers and the faculty to discuss obstacles encountered in their research as well as solutions for how to overcome them.,Exceptional Children,GSU
EDB 9150,Creating and Disseminating Research Knowledge,"Creating and Disseminating Research Knowledge3 Credit Hours  Description This course develops an understanding of the role of executive doctorates in the creation and dissemination of new knowledge. Among the topics to be covered are how to develop a program of research to create knowledge within particular domains of theory and practice; approaches to present, discuss, and defend the results of rigorous engaged scholarship; methods of knowledge dissemination including publication in internal (e.g. white papers) and external (e.g. practitioner or academic publications) outlets; and the process of crafting engaged scholarship research for dissemination through these various outlets.",Exceptional Children,GSU
EDB 9170,Dissertation,"Dissertation3 to 6 Credit Hours  Description During the last three semesters students will register for a total of 12 hours of independent dissertation work aimed at addressing a contemporary business problem. During this period, students will be expected to develop and defend a proposal, organize an independent research project, and write and defend a coherent dissertation.     This course may be taken multiple times for credit.",Exceptional Children,GSU
EDB 9171,Dissertation Seminar,"Dissertation Seminar1 to 9 Credit Hours  Description Completed all other EDB course work, permission of the academic program director. The seminar is intended for students who have not finalized their Executive Doctorate dissertation within the designated three years of the program. The objective is to facilitate the participants’ dissertation work. During the seminar, the students will meet on a regular basis to present status of dissertation work, to receive critique and guidance on their dissertation, to review relevant research methodology, and, to review key challenges and approaches in dissertation writing. A grade of IP (satisfactory progress was made on the dissertation) or U (satisfactory progress) is assigned each term. At the end of the term during which the dissertation is completed/defended, a grade of S (satisfactory) or U (unsatisfactory) is assigned.     May be repeated once for credit.",Exceptional Children,GSU
EXC 6350,Orientation to Deafness,"Orientation to Deafness3 Credit Hours  Description This course is an overview of the field of deafness. Topics include psychosocial aspects of deafness, educational settings, modes of communication, technology, vocational opportunities, social-emotional development, and needs of the deaf and hard of hearing population with multiple disabilities.",Executive Doctorate in Business,GSU
EXC 6360,Audiological Considerations,"Audiological Considerations3 Credit Hours  Description An introduction to the types and causes of hearing loss, orientation to hearing testing, and characteristics and needs of individuals with hearing loss.",Executive Doctorate in Business,GSU
EXC 6370,American Sign Language and Deaf Culture I,American Sign Language and Deaf Culture I3 Credit Hours  Description This course provides an introduction to basic American Sign Language conversational phrases and fingerspelling skills. Students receive an orientation to Deaf Culture.,Executive Doctorate in Business,GSU
EXC 6380,American Sign Language and Deaf Culture II,"American Sign Language and Deaf Culture II3 Credit Hours  Description This course prepares students to understand and use the grammar, signs, finger spelling, and non-manual markers of American Sign Language at the intermediate level. Students increase their understanding of deaf culture and explore the American Sign language QCC.",Executive Doctorate in Business,GSU
EXC 6560,Educational Evaluation of Students with Disabilities,"Educational Evaluation of Students with Disabilities3 Credit Hours  Description This course is the study of the process of gathering information regarding the individual strengths and needs of students with disabilities. It introduces both formal and informal evaluation procedures used in special education settings. Students select and administer both formal and informal assessment instruments and use the data from these assessments for eligibility decision making, instructional planning, and progress monitoring. Limitations of assessment tools related to test bias and cultural and linguistic concerns are addressed in the areas of test selection, administration, interpretation of test results. Technology that facilitates the assessment process is used throughout the course. This course requires additional assignment(s) beyond those at the inital level.     (Repeatable, twice).",Executive Doctorate in Business,GSU
EXC 6570,Individual and Classroom Management,"Individual and Classroom Management3 Credit Hours  Description The course is designed to promote skill development in the use of empirically validated methodolgy on the formation of interventions and effective management strategies for individuals as well as groups across a variety of learning environments. Participants develop an understanding of individual and group motivation and behavior to create a learning environment that encourages positive social interactions, active engagement in learning, and self motivation. A case study approach is used to promote reflection, evaluation, synthesis, and application of principles learned. This course requires additional assignment(s) beyond those at the initial level.     (Repeatable, twice).",Executive Doctorate in Business,GSU
EXC 6580,Instructional Methods for Students with Behavior/Learning Disabilities,"Instructional Methods for Students with Behavior/Learning Disabilities3 Credit Hours  Description This course focuses on the fundamental elements of design, implementation, and evaluation of individualized programs based on educationally relevant characteristics of students with mild behavioral and learning disabilities. Research-based strategies and materials for instruction and technology use in the areas of reading, math, and written language are described and demonstrated with an emphasis on explicit teaching approaches. This course requires additional assignment(s) beyond those at the inital level.     (Repeatable, twice).",Executive Doctorate in Business,GSU
EXC 6590,Functional and Social Methods for Students with Behavior/Learning Disabilities,"Functional and Social Methods for Students with Behavior/Learning Disabilities3 Credit Hours  Description This course focuses on development, implementation, and evaluation of strategies and methods to promote the acquisition of critical functional life skills in students with mild disabilities. A major focus is the use of integrated thematic instruction which embeds functional skills in the content area. Adaptive behaviors and strong determination of students’ success in various contexts are also included. This course requires additional assignment(s) beyond those at the initial level.     (Repeatable, twice).",Executive Doctorate in Business,GSU
EXC 6600,Collaboration Between Schools and Communities in Special Education,"Collaboration Between Schools and Communities in Special Education3 Credit Hours  Description In this course, students will examine consultative strategies, cooperative teaching techniques, and other culturally-responsive methods that have been designed to foster student performance in diverse inclusive settings. Collaboration with administration, parents, related service providers, and communities will be discussed.",Executive Doctorate in Business,GSU
EXC 6661,Practicum I: Special Education General Education Curriculum: Consultative,"Practicum I: Special Education General Education Curriculum: Consultative3 Credit Hours  Description This field-based experience is the first of two required practica for students seeking initial licensure in special education. This practicum provides students with an opportunity to develop and practice skills in delivering instruction and assessment with students who have mild disabilities. Practicum requirements may be completed on the job for those students who are currently employed as a classroom teacher in an approved setting. Students not employed by an approved school will be placed by the program. They will be required to proof of tort liability coverage and have completed a criminal background check through the College of Education Office of Academic Assistance. Students complete the requirements for this practicum with a supervising teacher in a public school setting. The placement requires 15-20 hours per week in classroom settings working with students with mild disabilities. This course requires additional assignement(s) beyond those at the initial level.     (Repeatable, once).",Executive Doctorate in Business,GSU
EXC 6671,Educational Partnerships and Practicum II: Special Education General Education Curriculum: Consultative,"Educational Partnerships and Practicum II: Special Education General Education Curriculum: Consultative3 Credit Hours Prerequisites: EPY 2050, EXC 4010, EXC 6560 , EXC 6570 , EXC 6580 , EXC 6590 , and EXC 6661 . Description This is the second of two required practica for students preparing for initial licensure in special education general education curriculum: consultative. This course includes the study of family systems and parenting perspectives, effective communication, and models of collaboration. Students are placed in public school settings for the entire school day during the semester of their practicum. Practicum requirements may be completed on the job for those students who are currently employed as a classroom teacher in an approved setting. Students not employed by an approved school will be placed by the program.They will be required to show proof of tort liability coverage and have completed a criminal background check through the College of Education Office of Academic Assistance. Students comlete the requirements for this practicum with a supervising teacher in a public school setting. The placement requires 15-20 hours per week in classroom settings working with students with mild disabilities. Various means of collaboration within the school setting are discussed as well as roles and responsibilities of school personnel in consultation, collaboration, and teamwork during the required seminars. Learners demonstrate an understanding of the importance of collaboration in specific special education activities such as pre-referral teams, assessment, IEP/ITP meetings, and consultation with general education teachers regarding strategies for working with students with disabilities. This course requires additional assignment(s) beyond those at the initial level.     (Repeatable, once).",Executive Doctorate in Business,GSU
EXC 7000,Collaboration with Parents and Professionals,"Collaboration with Parents and Professionals3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course provides students with strategies to successfully collaborate with families, teachers, related staff, and other members of the educational team for students in special education.",Executive Doctorate in Business,GSU
EXC 7010,Beginning Literacy Instruction for Students with Dyslexia and Other Reading Disabilities,"Beginning Literacy Instruction for Students with Dyslexia and Other Reading Disabilities3 Credit Hours  Description This course focuses on the study of beginning reading skills with an emphasis on strategies for students with dyslexia and other reading disabilities. The course will include strategies for teaching phonological awareness, phonics, word study, pre-literacy skills, oral language skills, and writing. Students will learn how to develop and deliver assessments related to beginning literacy instruction.",Executive Doctorate in Business,GSU
EXC 7030,Applied Behavior Analysis,"Applied Behavior Analysis3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course is a study of the theory and implementation of behavioral strategies for behavior change in students. Strategies include those for data collection and analysis and behavior increase, maintenance, and decrease.",Executive Doctorate in Business,GSU
EXC 7130,Assessment for Instructional Planning,"Assessment for Instructional Planning3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course focuses on the design of assessment strategies for students with behavior and learning disabilities to determine specific instructional needs and monitoring of academic progress. Students use assessment data to develop individualized educational programs. Students develop assessment and monitoring strategies in the following curriculum areas: reading comprehension, word decoding, oral language, written expression, writing mechanics, and study skills.",Executive Doctorate in Business,GSU
EXC 7150,Methods for Teaching Students with Varying Exceptionalities,"Methods for Teaching Students with Varying Exceptionalities3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course provides an examination of the methods of teaching students with a variety of disabilities. Students will investigate how disability may affect behavior and learning. Empirically-validated methods for teaching communication, socialization, self-help, and academics will be discussed along with the application of these methods across environments.",Executive Doctorate in Business,GSU
EXC 7160,Strategies for Social and Emotional Behavior in Students with Behavior and Learning Disabilities,Strategies for Social and Emotional Behavior in Students with Behavior and Learning Disabilities3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course examines techniques for individual and group behavior management as well as curriculum and teaching strategies for promoting the social and emotional development of students with behavior and learning exceptionalities. Both reactive and proactive strategies for working with students are covered.,Executive Doctorate in Business,GSU
EXC 7190,Theoretical Foundations for Literacy Instruction for Students with Dyslexia and Other Reading Disabilities,"Theoretical Foundations for Literacy Instruction for Students with Dyslexia and Other Reading Disabilities3 Credit Hours  Description Students will learn the theoretical underpinnings for reading instruction, the characteristics of learning disabilities in reading, including dyslexia, and the identification of students with learning disabilities and dyslexia. The course also provides a broad overview of the 5 components of reading instruction as identified by the National Reading Panel.",Executive Doctorate in Business,GSU
EXC 7250,Characteristics of Intellectual Disability and Autism Spectrum Disorders,"Characteristics of Intellectual Disability and Autism Spectrum Disorders3 Credit Hours  Description This course includes the study of the cognitive, social, communication, and learning characteristics of students with moderate, severe, and profound intellectual disability and students with autism spectrum disorders. Discussions focus on social philosophies and service delivery issues.",Executive Doctorate in Business,GSU
EXC 7260,Characteristics of Severe Physical and Multiple Disabilities,"Characteristics of Severe Physical and Multiple Disabilities3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course analyzes the impact of physical, sensory, and health impairments on learning and the resulting educational implications. Major physical, sensory, and health impairments that are often found in school age populations are addressed.",Executive Doctorate in Business,GSU
EXC 7280,Methods for Teaching Students with Intellectual Disability and Students with Autism Spectrum Disorders,"Methods for Teaching Students with Intellectual Disability and Students with Autism Spectrum Disorders3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course includes the study of instructional methodologies for skill acquisition for students with intellectual disability, autism spectrum disorders, physical/health disabilities, and multiple disabilities.",Executive Doctorate in Business,GSU
EXC 7281,Assessment and Curriculum Planning: Adapted Curriculum,"Assessment and Curriculum Planning: Adapted Curriculum3 Credit Hours Prerequisites: EXC 7280 . Description Assessment types and strategies and curriculum planning for students on adapted curriculum. Content areas include assessment and individualized education plans, functional academics, transition, vocational training, and community-based instruction.",Executive Doctorate in Business,GSU
EXC 7300,Assistive Technology: Reading and Academics,"Assistive Technology: Reading and Academics3 Credit Hours Requirements: A minimum grade of “B” is required for this course.    Description This course provides instruction in various forms of assistive technology for students with disabilities and includes computer adaptations for physical access and assistive technology to promote reading, writing, math and other academic areas. Course may extend beyond one term.",Executive Doctorate in Business,GSU
EXC 7310,Strategies for Challenging Behaviors,Strategies for Challenging Behaviors3 Credit Hours Prerequisites: EXC 7030  or EPY 8020 .Requirements: A minimum grade of “B” is required for this course.    Description This course is the study of functional assessment and functional analysis procedures for the development of a hypothesis concerning the function of challenging behavior. The development of intervention strategies based on such hypotheses is discussed.,Executive Doctorate in Business,GSU
