CourseNumber,CourseTitle,CourseDescription,CourseDepartment
GRD 4200 , Corporate Identity Design," Corporate Identity Design3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Advanced design concepts applied to corporate and/or institutional contexts; presented in studio problem-solving format; logotype and identity design; design systems; print technology, strategic communications, and system applications.          ",Global Studies
GRD 4250 , Graphic Design in Popular Culture, Graphic Design in Popular Culture3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Chronology of popular culture through graphic design from the late nineteenth through the twentieth century; presented in a studio problem-solving format; sociological and cultural impact of design and design technology.          ,Global Studies
GRD 4300 , Internship in Graphic Design," Internship in Graphic Design3 Credit Hours Prerequisites: GRD 4020 , GRD 4100 , and GRD 4310  with grades of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Specialized field training allowing practical professional experience with major design firms, advertising agencies, and corporations.  This course may include a Signature Experience component.        ",Global Studies
GRD 4310 , Interactive Design, Interactive Design3 Credit Hours Prerequisites: Restricted to students who have been accepted into the BFA program.Requirements: Lab Fee: $20.00.    Description Exploration of interactive media design for screen and online applications in studio problem-solving format; creating and managing systems of content for nonlinear view; professional practices and project scheduling; research-based proposals and working on creative teams.          ,Global Studies
GRD 4350 , Graphic Design through Advertising," Graphic Design through Advertising3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Applications of graphic design in advertising in a studio problem-solving format; collaboration and art direction on creative teams; visual marketing concepts; campaign development, copywriting; development of presentation skills.          ",Global Studies
GRD 4400 , Motion Design and Time-Based Media," Motion Design and Time-Based Media3 Credit Hours Prerequisites: Restricted to students who have been accepted into the BFA program.Requirements: Lab Fee: $20.00.    Description Design of motion graphics and time-based media for screen and online applications; demonstrations and/or practical experience with various motion systems; professional practices; the contemporary use of typography, imagery, animation, and digital systems, including audio.          ",Global Studies
GRD 4450 , Professional Practices in Graphic Design, Professional Practices in Graphic Design3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Practical client-based professional experiences; field trips; presentation techniques; implementation of projects through supervision of printing process or appropriate media; principles unique to the business of graphic design.          ,Global Studies
GRD 4550 , Specialized Applications of Graphic Design, Specialized Applications of Graphic Design3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Specialized and alternative applications of graphic designs in a studio format; identity through packaging; point of purchase design; signage and display.          ,Global Studies
GRD 4600 , Senior Workshop in Graphic Design," Senior Workshop in Graphic Design3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Lab Fee: $20.00.    Description Restricted to students who have been accepted into the BFA program. Advanced exploration of multimedia including illustrative and photographic animation, interactivity, internet applications, and strategic communication. Professional practices in digital media.          ",Global Studies
GRD 4840 , Computer Graphic Imaging," Computer Graphic Imaging3 Credit Hours Prerequisites: ART 1020  and ART 1030  or ART 1050  with grades of C- or higher. Description(Same as CSC 4840  and FLME 4840 ). Study the theories, techniques and tools for creating 3D graphics content. Topics include 3D modeling, camera, lighting, materials, texture mapping, physics based modeling, basic animation, and rendering techniques (such as tracing and radiosity).          ",Global Studies
GRD 4950 , Graphic Design Portfolio-CTW, Graphic Design Portfolio-CTW3 Credit Hours Prerequisites: GRD 3200  with a grade of C or higher.Requirements: Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all Graphic Design majors.    Description Restricted to students who have been accepted into the BFA program. Preparation of final professional portfolio; consolidation and revision of previous projects; addition of projects reflecting student’s specialized interests; self-promotion; presentation; interviewing; the language of graphic design in the context of the fine arts.  Critical Thinking Through Writing (CTW) course.        ,Global Studies
GRD 4980 , Special Problems, Special Problems3 Credit Hours Prerequisites: Consent of instructor and of school director. Description Independent studies initiated by the student.       May be repeated for a maximum of six credit hours.   ,Global Studies
GSU 1010 , New Student Orientation," New Student Orientation1 to 3 Credit Hours  Description Introduction to the academic life of the university; interdisciplinary study of urban Atlanta and the Georgia State community; introduction to the academic demands, learning resources, and rules and procedures of the institution.   Three lecture hours a week.       ",Graphic Design
GSU 1050 , Survival Skills for College," Survival Skills for College1 to 3 Credit Hours  Description Two class hours and one lab hour per week. Designed to help students improve their academic skills to survive the college experience. Special attention will be given to the academic, social, family, work, career, and personal issues that affect students’ success. This class is appropriate for students with less than a 2.0 cumulative Georgia State GPA.         (Formerly AcF 1050.) ",Graphic Design
HA 3900 , Introduction to the U.S. Health Care System," Introduction to the U.S. Health Care System3 Credit Hours Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description This course introduces and describes the health care system in the United States. Students learn how the system devel- oped, how health care services in the U.S. are organized and financed, and the key problems facing the health care sector.          ",Health Administration
HA 3910 , Health Policy in the United States: An Introduction," Health Policy in the United States: An Introduction3 Credit Hours Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description This course introduces and describes health policy in the United States. Students learn about health policy at the federal, state, and local levels and how health policy is developed for hospitals, employers, HMOs, and other health services organizations. Key policy issues facing the health care sector are discussed.          ",Health Administration
HA 3970 , Health Information Systems," Health Information Systems3 Credit Hours Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description The course provides a broad overview of the critical role of information systems in the health sector and its strategic importance to health management. While hardware, software, and Internet applications will be discussed, the focus is on the use of information systems throughout the whole health care sector, including health systems, hospitals, medical practices, and businesses. This course is appropriate for students interested in health informatics, computers, business, and health sciences.          ",Health Administration
HA 4389 , Directed Readings in Health Administration, Directed Readings in Health Administration1 to 3 Credit Hours Prerequisites: Consent of instructor.Requirements: Must meet RCB upper division course requirements and 45 semester hours.    Description  ,Health Administration
HIN 1001 , Elementary Hindi I," Elementary Hindi I3 Credit Hours  Description This is the first part of a four-year Hindi course designed to develop listening, speaking, writing, and reading skills while building a background in basic grammar for the purpose of functional command of Hindi that will allow students to use the language for communication, for understanding other cultures as well as the student’s own (cultures), as a tool for instruction in other areas of knowledge (connections), for comparing and contrasting languages and cultures (comparisons), and for extending learning experiences from the classroom to the home and to multilingual and multicultural communities locally and in a global society (communities).          ",Hindi
HIN 1002 , Elementary Hindi II," Elementary Hindi II3 Credit Hours Prerequisites: Satisfactory completion of Elementary Hindi 1001 with a grade of C or higher or placement in 1002 by instructor approval. Description Development of basic skills in listening, speaking, reading, and writing; acquisition of grammatical structures. Students are introduced to various aspects of Indian culture. This is the second semester of a four-year course for the functional command of Hindi for communication, for understanding culture(s), as a tool for critical thinking, and for applications in multilingual and multicultural communities locally and globally.          ",Hindi
HIST 1111 , Survey of World History to 1500, Survey of World History to 15003 Credit Hours  Description A survey of world history to early modern times.          ,History
HIST 1112 , Survey of World History since 1500, Survey of World History since 15003 Credit Hours  Description A survey of world history from early modern times to the present.          ,History
HIST 1141 , Introduction to African and African American History to 1865," Introduction to African and African American History to 18653 Credit Hours  Description An introductory survey of African-American History that provides engagement with significant topics, themes and issues in the African American experience from pre-colonial Africa, through enslavement in North America.          ",History
HIST 1142 , Introduction to African American History Since 1865," Introduction to African American History Since 18653 Credit Hours  Description An introductory survey of African-American History that provides engagement with significant topics, themes and issues in the African American experience from Reconstruction in to the present.          ",History
HIST 1200 , Introduction to the Middle East," Introduction to the Middle East3 Credit Hours Prerequisites: Exit or exemption from ENGL 0989 or all ESL requirements except ENSL 0091 This course focuses on the key political, cultural, social, religious changes that occurred in the Middle East 1800 Century to the present. Description  ",History
HIST 2030 , Introduction to Asian Studies," Introduction to Asian Studies3 Credit Hours  Description This course provides a broad overview of Asia’s historical, political, socio-economic, and cultural diversity and dynamics. Students will learn what Asia is all about and how it has been conceptualized and understood in the West by critically engaging with the “Orientalism,” “Asian modernity,” and “great divergence” debates. They will study Asian societies, economies, cultures, and politics in a multidisciplinary framework and from global and comparative perspectives. Anyone interested in Asian politics, history, economies, and cultures will find this course interesting and useful.          ",History
HIST 2110 , Survey of United States History, Survey of United States History3 Credit Hours  Description A thematic survey of U.S. history to the present.          ,History
HIST 2200 , Women In American History," Women In American History3 Credit Hours  Description This course will examine the historical development of the United States of America from colonial times to the present with special reference to the contributions of women. The course will review changes in feminism, gender, and the Constitution of the United States, i.e., the 19th amendment, the Suffragettes, their relationship to abolition and other feminist campaigns. This course includes an analysis of the social and economic disparity between women and men, women’s roles within state, local, and federal governments, their intellectual, cultural, and social interaction in the larger society. It explores the issues of women in major ethnic groups in the United States, and interaction of women within and outside each group. Topics include colonial women, frontier women, progressivism, unions, birth control, discrimination, sectional conflict from the perspective of women, WWII, “Rosie the Riveter”, Vietnam, the modern industrial complex, globalization, and urban demographic patterns as they relate to the lives of women.          ",History
HIST 3000 , Introduction to Historical Studies-CTW," Introduction to Historical Studies-CTW4 Credit Hours Requirements: Serves as one of the two Critical Thinking Through Writing (CTW) courses required of all History majors.   (History majors should take History 3000 as the first course among their upper-division selections). Description The nature of historical knowledge and analysis, historical resources in Atlanta-area research libraries and archives, and exercises in historical writing and thinking.  Critical Thinking Through Writing (CTW) course.        ",History
HIST 3100 , Introduction to Global History," Introduction to Global History3 Credit Hours  Description(Same as GLOS 3100)). What is the story behind globalization, the processes and effects of integration and disruption on a world scale in the contemporary moment?  This course explores the exciting field of global history, with its emphasis on the shaping force of contexts and connections linking societies and regions in recent centuries. We will highlight the value of historicizing global conditions and relations by following the unfolding of key economic, political, cultural, and environmental processes.  Global Scholars course.        ",History
HIST 3200 , North America before 1800," North America before 18004 Credit Hours  Description Development of Native American cultures before European contact; cultural interactions among Native Americans, Africans, and Europeans during conquest and colonization; emergence of United States of America as dominant economic and political force in North America.          ",History
HIST 3210 , United States in the Nineteenth Century," United States in the Nineteenth Century4 Credit Hours  Description Major developments in United States history from 1800 to 1900, including the growth of political parties and the changing role of the presidency; sectionalism and the Civil War and Reconstruction; immigration, economic expansion, and the American response to industrialization; changes in American social classes and American life.          ",History
HIST 3220 , United States in the Twentieth Century, United States in the Twentieth Century4 Credit Hours  Description Major developments in the United States from 1900 to the present.          ,History
HIST 3230 , American Environmental History," American Environmental History4 Credit Hours  Description History of interactions with the natural world from the 17th through the 20th century, focusing on the US and its global influence. Explores the history of nature’s effects on culture and economy, the history of people’s activities on their environments, conceptions of nature, and environmental politics. Topics include urban growth, pollution, colonialism, natural resource issues, the history of parks and wild lands, and global environmental problems.          ",History
HIST 3240 , History of Sports and Leisure," History of Sports and Leisure3 Credit Hours  Description Examines diverse examples of sports and leisure in human history, with special focus on their relationship to industrialization, nation-building, and empire.  Global Scholars course.        ",History
HIST 3250 , Religion in American Life, Religion in American Life3 to 4 Credit Hours  Description This course will explore the history of religion in the United States from the early colonial period to the present.          ,History
HIST 3260 , The Harlem Renaissance," The Harlem Renaissance3 Credit Hours Requirements: City Scholars course.    Description Harlem became the epicenter of Black America in the 1920s and 1930s. This course explores the historical social, political, and economic forces that set the stage for the emergence of this dynamic urban community and the contributions by writers, artists, journalists, folklorists, political leaders, organizations, and working class African Americans.          ",History
HIST 3270 , History of the 1970s and 1980s," History of the 1970s and 1980s3 to 4 Credit Hours  Description From the persistence of post-1960s radical politics to the media revolution represented by MTV to the fall of the Soviet Union, the 1970s and 1980s have had profound effects on the way we experience the world today. This class will challenge students to rethink what we know/remember about these two decades from a broader, deeper, historical perspective. As a 3000-level survey, the class will consider many approaches to the history of these decades, including political, social, military, economic, cultural, and intellectual history.  Global Scholars course.        ",History
HIST 3300 , History of Capitalism," History of Capitalism3 to 4 Credit Hours  Description(Same as GLOS 3300). This course examines the intellectual, cultural and social history of capitalism from the eighteenth century to the present. Readings include texts written by historians, economists, sociologists, and social and political theorists; topics range from the emergence of free market economics, the formation of social classes, the rise of the corporation, the cultural impact of consumerism, and the global reach of capitalism in the twentieth and twenty-first centuries.  Global Scholars course. City Scholars course.        ",History
HIST 3400 , History of Sex," History of Sex3 to 4 Credit Hours  Description Sex has a history. Topics may vary, but include the theory and history of sexuality, the science of sexual difference, and the social and cultural ramifications of â€œsexual revolutionâ€, the historical dimensions of population management and â€œfamily planningâ€, as well as sex as identity, metaphor, and ideology.  Global Scholars course.        ",History
HIST 3410 , History of Food," History of Food4 Credit Hours  Description What does soup have to do with labor rights in 16th-century France? Why did the ancient Romans legislate how many chickens could be served at a dinner party? How did Chicago change the American farming landscape? This course examines the ways that people have used food to engage with their social worlds and debate issues such as health, industrialization, and power structures. Looking at the way food has been produced and consumed, the course considers a wide range of topics, including: the history of cookbooks, public eating and restaurants, agriculture from its origins to â€œurban farms,” hunger, food taboos, networks of food production, disordered eating, and modern food movements.  Global Scholars course.        ",History
HIST 3420 , Historical Aspects of Public Health and Medicine," Historical Aspects of Public Health and Medicine3 Credit Hours  Description This course will cover the major discoveries, developments, and advances in the field of medicine and public health. It will examine the intellectual and technological processes that produce advancements, and critically examine the public and professional debates about the application of such changes in society at large.  Global Scholars course.        ",History
HIST 3500 , The Ancient Mediterranean," The Ancient Mediterranean4 Credit Hours  Description(Same as MES 3110). Political, cultural, religious, economic, and social developments of the Ancient Near East, Greece, and Rome and their influence on Western Civilization.  Global Scholars course.        ",History
HIST 3505 , Classical and Early Modern Western Political Thought," Classical and Early Modern Western Political Thought3 Credit Hours  Description(Same as Phil 3855 and PolS 3530). A survey of the historical writings in political thought from Plato to Machiavelli. Special emphasis on the contributions these thinkers made to Western conceptions of democracy, equality, human nature, citizenship, etc., as well as the continuing relevance of the texts for explaining contemporary political phenomena.  Global Scholars course.        ",History
HIST 3510 , Medieval Mediterranean/Islamic World," Medieval Mediterranean/Islamic World4 Credit Hours  Description(Same as GLOS 3510). Overview of the history of the Medieval Mediterranean World, from the fall of the Roman Empire to the rise of the Atlantic World (500-1500). Topics will include the origins and spread of Islam, cross-cultural contacts around the Mediterranean, the Crusades, and the other examples of Islamic/Christian/Jewish interaction.  Global Scholars course.        ",History
HIST 3515 , North Africa and the World to 1800," North Africa and the World to 18004 Credit Hours  Description Political, economic, cultural and social history of North Africa and its interactions with the Mediterranean world, Sub-Saharan Africa and the broader world system. Examines the history of the Berbers alongside the history of Arab and European influences in the region from Roman times to 1800.  Global Scholars course.        ",History
HIST 3520 ," Early Modern Europe, 1500-1789"," Early Modern Europe, 1500-17894 Credit Hours  Description Transition from medieval to modern Europe; special attention to the Northern Renaissance, the Protestant and Catholic Reformations; the emergence of a competitive state system; the evolution of nation states; gender roles and the pre-industrial economy; and the conceptual revolution in science and philosophy.  Global Scholars course.        ",History
HIST 3525 , Modern Western Political Thought," Modern Western Political Thought3 Credit Hours  Description(Same as Phil 3540 and Phil 3855). A survey of the historical writings in political thought from Hobbes to Marx. Special emphasis on the contributions these thinkers made to Western conceptions of democracy, equality, human nature, citizenship, etc., as well as the continuing relevance of the texts for explaining contemporary political phenomena.  Global Scholars course.        ",History
HIST 3530 , Europe Since 1789," Europe Since 17894 Credit Hours  Description Society and politics since the age of enlightenment; special attention to revolution, reaction and reform; class, gender and industrial capitalism; imperialism and nationalism; democracy, fascism, and communism; economic integration: citizenship, immigration, and new social movements.  Global Scholars course.        ",History
HIST 3540 , Film and the Holocaust," Film and the Holocaust4 Credit Hours  Description(Same as GLOS 3540). Explores the history of intersections among feature and documentary films and the Holocaust, with an emphasis on the ways filmmakers have interpreted and represented the causes, events, consequences, and recollections of the mass murder of European Jews and other groups during World War II.  Global Scholars course.        ",History
HIST 3615 , The Indian Ocean World," The Indian Ocean World4 Credit Hours  Description(Same as GLOS 3615). The Indian Ocean world is a geographical zone running from East Africa to China and has been a highway of commercial and cultural exchanges since ancient times. This course introduces students to the empires, trade, and cultures in monsoons Asia and their role in the world economy from non-Western and non-Eurocentric perspectives.  Global Scholars course.        ",History
HIST 3620 ," The Atlantic World: Encounters, Empires, Diasporas, Revolutions"," The Atlantic World: Encounters, Empires, Diasporas, Revolutions4 Credit Hours  Description The Atlantic World as a space of cross-cultural contact, empire and nation-building, diasporas, and revolutions since the fifteenth century; transatlantic encounters in Africa, Europe, and the Americas; conquest, colonialism, and creolization; slavery, emancipation, and capitalism; indigenous survival, subaltern resistance, and popular religion; Atlantic world legacies in cultural and political identities.  Global Scholars course.        ",History
HIST 3625 , War in Europe and America Since 1500," War in Europe and America Since 15004 Credit Hours  Description Warfare and military institutions as they relate to social, economic, political, and technological developments.          ",History
HIST 3630 , Empires in the Modern World," Empires in the Modern World3 Credit Hours  Description This course explores the interactive history of empires, both horizontally among great powers and vertically between rulers and subjects, since the sixteenth century. These interactions shaped, restructured, and dissolved supposedly monolithic empires. We will interrogate the cross-cultural encounters of imperial expansion; the raced and gendered nature of imperial hierarchies, identities, and imaginaries; the lived experience of colonial rule; the interplay of world economy, world war, and anticolonial projects for reform, revival, and revolution in the â€œdecline and fallâ€ of empire; and the uneven and contradictory transition from an â€œimperialâ€ to an â€œinternationalâ€ world order.          ",History
HIST 3635 ," Media, Technology, and Popular Culture"," Media, Technology, and Popular Culture4 Credit Hours  Description Examines evolution of communication technologies from the rise of printing in early modern Europe through the foundation of American media, and the globalization of mass media in the twentieth century. Topics include nationalism and the public sphere; media constructions of race, gender, and sexuality; legal and regulatory issues; and the changing aesthetics of print, film, television, and new media.  Global Scholars course.        ",History
HIST 3640 , Piracy from Ancient to Modern Times," Piracy from Ancient to Modern Times4 Credit Hours  Description This course examines the history of piracy from the ancient Egyptians to present-day piracy off Somalia and the Straits of Malacca. Particular attention to the ?Golden Age of Piracy? in the West from 1640 to 1730 is complemented by the study of piracy in a range of times and places. This comparative approach presents piracy as a series of complex social, political, and economic interactions, asking how transformations in piracy reveal larger patterns of change and continuity in world history. The course also examines how the study of pirates and piracy as a contemporary cultural phenomenon in films and other media can help us to understand how modern and contemporary culture claims and re-presents history.  Global Scholars course.        ",History
HIST 3645 , Contemporary Africa," Contemporary Africa3 Credit Hours  Description(Same as GLOS 3645). The major historical, political, cultural and economic developments, which have shaped conditions in Africa since the Second World War. Topics vary but include liberation movements, the Ebola Crisis, and the War on Terror in Africa; historical developments that continue to impact the continent’s current and future prospects.  Global Scholars course.        ",History
HIST 3650 , Africa and the world," Africa and the world4 Credit Hours  Description This interdisciplinary course explores the long and extensive international history of Africa, focusing on its relations with other civilizations and regions of the world, from medieval times to the present. The weekly inter-related and inter-woven topics will include Medieval African Kingdoms and the Trans-Saharan Trade; the Indian Ocean Trade; European colonialism; Africa, the World Wars and the Cold War; African relations with the US, Western Europe and the former USSR; China and India in Africa; the UN and other global IGOs/NGOs in Africa; Africa and the global economy; globalization and Africa; and Africa and the African Diaspora in the Americas.  Global Scholars course.        ",History
HIST 3660 , 20th Century World, 20th Century World3 Credit Hours  Description This course explores the history of the â€œlongâ€ twentieth century from the 1890s to the 2000s. We will track the emergence of antagonisms in an imperial world that culminated in the First World War; the effort to construct political and social alternatives through the Second World War; the interplay of the â€œthree worldsâ€ during the Cold War; and the unfolding of global turbulence in a neoliberal world. We will highlight the ongoing challenges of social movements as well as contested visions of global order across this long century.  Global Scholars course.        ,History
HIST 3665 , History of Ideas about Race," History of Ideas about Race4 Credit Hours  Description An interdisciplinary, comparative history of ideas about race, ethnicity, and human variation from the 17th century to the present, with emphasis on the social interactions, historical contexts, and social conflicts that produced those ideas. Race is primarily a Western historical construction, but the course also compares race with other systems for defining â€œnaturalâ€ or â€œin-bornâ€ differences, such as ethnicity, religion, caste, or class. It also provides an insight into how the subjects of racial regimes viewed or challenged them from the inside.  Global Scholars course.        ",History
HIST 3675 , Teaching Difficult Topics in United States History," Teaching Difficult Topics in United States History3 Credit Hours  Description This course will introduce students to the pedagogy of U.S. history, following the Georgia performance standards and the AP U.S. History curriculum framework. Topics will challenge the master narrative of American history, such as colonization, slavery, racial violence, and class conflict. Through readings, discussion, document analyses and classroom observations, students will explore a variety of teaching methods designed to develop historical thinking skills and maximize student engagement.          ",History
HIST 3690 , Honors Readings, Honors Readings1 to 4 Credit Hours Prerequisites: Good standing with the Honors College and consent of instructor. Description  ,History
HIST 3700 , China and Japan to 1600," China and Japan to 16004 Credit Hours  Description Origins and development of two ancient civilizations, with emphasis upon traditional thought, cultures, institutions, and change.  Global Scholars course.        ",History
HIST 3710 , China and Japan since 1600," China and Japan since 16004 Credit Hours  Description East Asia in modern transformation from 1600 to the present, emphasizing pre-nineteenth century prosperity, nineteenth-century crises, and twentieth-century change.  Global Scholars course.        ",History
HIST 3715 , Modern Japan," Modern Japan4 Credit Hours  Description This course explores the history of Japan during the modern period, from late 1500s through the present. Special attention will be paid to the development of Japanese national identity in local, regional and global contexts. Primary and secondary sources, including writing and other media, will allow students to understand and appreciate Japan’s transformation from relative isolation to a major regional and global power in the twentieth century.  Global Scholars course.        ",History
HIST 3720 , Colonial Latin America, Colonial Latin America4 Credit Hours  Description Spain’s and Portugal’s conquests and settlements in the Western hemisphere; the organization and collapse of their colonial systems.  Global Scholars course.        ,History
HIST 3730 , Latin America since 1810," Latin America since 18104 Credit Hours  Description Political, economic, and social developments of the major countries, such as Mexico, Argentina, Brazil, and Chile.  Global Scholars course.        ",History
HIST 3740 , Mexico," Mexico4 Credit Hours  Description This course explores the history of Mexico and its people from the time before the Spanish arrived to the present day. Focusing on culture, everyday life, and the borderlands, it gives a thorough introduction to the United States’ closest Latin American neighbor. The class is designed to work for students from a wide variety of majors for whom an understanding of Mexico would be useful.  Global Scholars course.        ",History
HIST 3780 , Middle East 600-1800," Middle East 600-18004 Credit Hours  Description(Same as MES 4110). Political, cultural, social, and economic developments in the lands from Spain to Central Asia since the rise of Islam.  Global Scholars course.        ",History
HIST 3790 , The Middle East since 1800," The Middle East since 18004 Credit Hours  Description(Same as MES 4120). Political, cultural, social, and economic developments from Morocco to Iran, including imperialism, nationalism, independence, and religious revival.  Global Scholars course.        ",History
HIST 3800 , History of India from the Indus Civilization to the Present," History of India from the Indus Civilization to the Present3 Credit Hours  Description(Same as GLOS 3800). This course provides a broad overview of the political, economic, social, and cultural processes in Indian history from the Indus Civilization (c.2500 BCEto the present. Students will learn about major developments in the long historical trajectory that have shaped the societies, cultures, polities, and economies of the subcontinent and continue to influence the present-day life. A critical evaluation of India’s historical processes during the four and a half millennia will help students understand the contemporary political, social, and economic dynamics of the region. Students will discuss a variety of issues and their historical context, such as caste and social hierarchy, Buddhist-Hindu-Muslim relations, religious radicalism and ethnic violence, economic growth, and India’s position in the modern world economy. Through a combination of reading and analysis of literature and primary sources, watching movies/documentaries, and in-class discussions students will learn about major historical developments and their implications for the peoples, societies, economies, and cultures of the region.          ",History
HIST 3850 ," China, India, and the Modern World Economy"," China, India, and the Modern World Economy3 Credit Hours  Description(Same as GLOS 3850). How to define and understand the modern world economy? What place did China and India have in it? This comparative global history course addresses these questions. It familiarizes students with the main characteristics of the world economy and the place and role of China and India in it. Prior to 1800, China and India were at the forefront of the world economy and since the early 19th century, Europe and North America have held a dominant position in it. Rapid economic growth in China and India since the early 1990s is indicative of a major reconfiguration in the world economy. This course offers historical and contemporary perspectives on the modern world economy and a comparative analysis of the role of states, markets, trade networks, economic institutions, commodity production, consumption, and socio-cultural values in the economies of China, India, and Europe/North America.  Global Scholars course.        ",History
HIST 3900 , Human Rights in Historical Perspective," Human Rights in Historical Perspective3 Credit Hours  Description Exploration of the historical development of human rights as contested ideal, movement, and institution. Topics may include premodern origins of human rights, modern struggles for the recognition of human rights, and historic and recent controversies around the legitimacy of human rights.  Global Perspectives Course.     May be repeated if topic varies.   ",History
HIST 4100 , Philosophy of History, Philosophy of History3 Credit Hours  Description What is history? How do we understand and represent the past? How does historical inquiry relate to a given society and culture? Western thinkers have asked these questions time and again since the Enlightenment; this course will examine the most important arguments and issues in the philosophy of history. Key topics will include: the validity of grand historical narratives of history; the rise of scientific history and historical positivism; historicism and its critique; and postmodern reflections on history.          ,History
HIST 4190 , American Culture and Ideas I," American Culture and Ideas I4 Credit Hours  Description This course will explore the history of American culture and ideas from the colonial era to the Civil War through books, essays, films, novels, and more.          ",History
HIST 4200 , American Culture and Ideas II," American Culture and Ideas II4 Credit Hours  Description This course will explore the history of American culture and ideas from the Civil War to the twenty-first century through books, essays, films, novels, and more.          ",History
HIST 4220 , The American City," The American City4 Credit Hours Requirements: City Scholars course.    Description Origins and growth of American cities from the colonial period to the present; economic, political, and cultural developments; the process of urbanization; and the influence of urbanism on the American experience.          ",History
HIST 4225 , Immigrants in America, Immigrants in America4 Credit Hours  Description(Same as GLOS 4225). History of immigration and the creation of “ethnic” identity in the United States from European contact to the present.  Global Scholars course. City Scholars Course.        ,History
HIST 4230 , Foreign Relations of the United States," Foreign Relations of the United States4 Credit Hours  Description Legacy of the colonial era, problems of a new nation, expansion and evolution of America as a great power, New Deal diplomacy, the United States in World War II, the “Cold War,” and the “American Empire.  Global Scholars course.        ",History
HIST 4245 , The United States in the 1960s," The United States in the 1960s4 Credit Hours  Description A social and cultural history of the U.S. in the 1960s, with special attention to the civil rights, peace, and women’s movements; the counterculture; race, gender, and electoral politics; the New Left and radical politics; the lasting influence of the 1960s on late 20th-century U.S. politics and culture.          ",History
HIST 4255 , U.S. Civil War and Reconstruction," U.S. Civil War and Reconstruction4 Credit Hours  Description Survey of the American Civil War era, including causes of the war, the war itself, Reconstruction, and the war’s commemoration from the 1860s to the present.          ",History
HIST 4260 , African-American Women," African-American Women4 Credit Hours  Description(Same as AAS 4660). Examination of the varied history of African-American women. Centered in the tradition of race and gender protest; how women have generationally developed agendas and forums around social justice reform; exploration of themes, individuals, and collective action, revealing the impact of race, class, and gender on the lives of African-American women.          ",History
HIST 4270 , Topics in African American History, Topics in African American History4 Credit Hours  Description Advanced studies in African American history; topics vary according to instructor.       May be repeated if the topic differs.   ,History
HIST 4280 , Enslavement and Resistance in North America, Enslavement and Resistance in North America3 Credit Hours  Description(Same as AAS 4600). Examines the character of chattel slavery and racial oppression in Colonial America and in the United States and insurgent responses to it by the captive and “free” population of African descent in North America.  Global Scholars course.        ,History
HIST 4290 , Enslavement in the Americas, Enslavement in the Americas3 Credit Hours  Description(Same as AAS 4620). Comparative examination of systems of captivity and forced labor in the western hemisphere and the social development and popular responses of captive Africans to these systems. Emphasis on the continuities of African culture and the unique adaptation of culture and social organization in each country. The nature of resistance and the process of eliminating the system of captivity.  Global Scholars course.        ,History
HIST 4300 , The American South," The American South4 Credit Hours  Description History of the South from the early nineteenth century to the present, emphasizing the changes in the region and important issues such as the growth of southern sectionalism in the 1820s and the impact of urbanization and civil rights in the twentieth century. This course may include a Signature Experience component.          ",History
HIST 4310 , Georgia," Georgia4 Credit Hours  Description History of Georgia from pre-colonial times to the present, including Native American cultures and strategies; colonization; Georgia in the new republic; slavery and antebellum development; Civil War and Reconstruction; the New South era; the civil rights movement; the emergence of modern Georgia. Of particular significance to teachers and prospective teachers in elementary and secondary education.          ",History
HIST 4315 , Civil Rights Memory in the United States and South Africa," Civil Rights Memory in the United States and South Africa3 Credit Hours  Description This course examines the comparative histories of civil rights and human rights movements in the United States and South Africa, paying particular attention to the way these movements have been memorialized. Students will explore the ways in which movements for social change in both countries have been documented and remembered, looking at memoirs, novels, museum exhibitions, public art and film.          ",History
HIST 4320 , Metropolitan Atlanta," Metropolitan Atlanta3 Credit Hours  Description(Same as Geog 4768 and Soci 4279). Interdisciplinary perspective focusing on social, historical, and geographic processes which have shaped the Atlanta region.  City Scholars course.        ",History
HIST 4325 , Introduction to Public History and Historic Preservation," Introduction to Public History and Historic Preservation3 to 4 Credit Hours  Description This course is designed to provide the student with an understanding of the theory and practice of Public History and Historic Preservation. The course will cover a variety of topics including museum studies, material culture, the application of National Register criteria, historic interpretation, oral history, local history and preservation at the local, state and federal levels. The class will include field trips to areas sites, local museums and historic neighborhoods.  Citis Perspective Course. This course may include a Signature Experience component.        ",History
