,CourseNumber,CourseTitle,Description,CourseDepartment
6091,MNGT 415,Economy and Society,"Examination of the structure and operation of institutions where economy and society intersect and interact, such as education, industrial organizations, on-the-job training, labor markets, and professional associations. Emphasis on the contemporary United States, with selected comparisons with Western Europe and Japan.",MNGT
6092,MNGT 427,The Labor Force,"Supply and characteristics of labor and of jobs, including industrial and occupation changes, education and mobility of labor, and changing demography of the workforce.",MNGT
6093,MNGT 691H,Honors Fall Course,Directed independent research under the supervision of a faculty advisor.,MNGT
6094,MNGT 692H,Honors Spring Course, Preparation of an honors thesis and an oral examination on the thesis.,MNGT
6095,MASC 51,"First Year Seminar: Global Warming: Science, Social Impacts, Solutions","Students will examine evidence that human activity has caused global warming, investigate scientists' ability to predict climate change, and discuss the political and social dimensions of global climate change.",MASC
6096,MASC 52,First-Year Seminar: Living with Our Oceans and Atmosphere,"Modern theories of changing weather, severe weather events, oceanic hazards, interactions between the oceans and atmosphere, and changes that are linked to human activity.",MASC
6097,MASC 53,First-Year Seminar: The Ends of the Earth: Polar Oceanography and Exploration,"What explains the ""pull of the poles""? This seminar combines a modern survey of polar oceanography with historical views of early polar explorations, as reported by the explorers themselves.",MASC
6098,MASC 55,First-Year Seminar: Change in the Coastal Ocean,This course provides an opportunity to explore changes in marine and closely linked terrestrial environments caused by the interactions of fascinating oceanographic processes. Introductory presentations and discussions will focus on published works of active marine scientists who combine disciplinary training with knowledge and skills from other fields.,MASC
6099,MASC 57,"First-Year Seminar: From ""The Sound of Music"" to ""The Perfect Storm""","Students will develop the conceptual framework necessary to understand waves of any kind, starting from laboratory observations. Honors version available.",MASC
6100,MASC 58,First-Year Seminar: Connections to the Sea: The Challenges Faced by Using and Living near Coastal In,"This course explores the natural history of several inlets, impact of human intervention, and political/policy challenges faced; includes several group projects/presentations and a field trip to a coastal inlet.",MASC
6101,MASC 59,First-Year Seminar: Extreme Microorganisms: Pushing the Limits of Life on Earth and Beyond,"This seminar focuses on some of the most extreme microorganisms on the planet, microorganisms that thrive without oxygen, under high temperatures (e.g., in pressurized water above the boiling point), and under chemical stress factors (high sulfide and heavy metal concentrations) that were once thought to be incompatible with life.",MASC
6102,MASC 89,First -Year Seminar: Special Topics,Special topics course.  Content will vary each semester.,MASC
6103,MASC 101,The Marine Environment,"Introduction to marine sciences emphasizing physical, chemical, biological, and geological phenomenon in oceanic and coastal environments. Human use of, and impact on, marine resources. Science majors should take MASC 401. Students may not receive credit for both MASC 101 and MASC 401.",MASC
6104,MASC 101L,The Marine Environment Laboratory," In this CURE course, students will research historical physical conditions and plankton abundance on a temperate reef on the NC coast and use the information to design a common garden experiment to test the effects of projected ocean warming and decrease food availability for heterotrophy on the calcification response of temperate corals. Students must also enroll in the MASC 101 lecture.",MASC
6105,MASC 108,Climate and Energy Transitions: Understanding the Forecasts,"This course examines uncertainties in projecting future fossil fuel consumption and impact on global climate by quantifying how effectively alternative power-generation and energy-storage technologies can scale to meet needs in developing and developed nations, and by understanding past and present climates.",MASC
6106,MASC 190,Special Topics in Marine Sciences,"An undergraduate seminar course that is designed to be a participatory intellectual adventure on an advanced, emergent, and stimulating topic within a selected discipline in marine sciences.",MASC
6107,MASC 220,North Carolina Estuaries: Environmental Processes and Problems,Natural processes and human impacts on estuarine systems using the Neuse River estuary as a case study. Course includes one week of intensive field work based at the Institute of Marine Sciences. A student may not receive credit for this course after receiving credit for ENEC 222.,MASC
6108,MASC 223,Geology of Beaches and Coasts,"Required preparation, one introductory geology course numbered below GEOL 202, except first-year seminar. Introduction to coastal processes, including waves, tidal currents, tectonics, climate, and human activity, and their influence on barrier islands, beaches, dunes, marshes, and estuaries. Involves a field trip to the Outer Banks of North Carolina.",MASC
6109,MASC 310,"Our Changing Planet: Science, Social Impacts, Solutions","An overview of the scientific basis for global warming, current and future impacts on society, options for mitigation and adaptation, and the role of politics and the media.",MASC
6110,MASC 312,From the Equator to the Poles: Case Studies in Global Environmental Change,"Case studies in environmental change, highlighting human and environmental dynamics in terrestrial and marine ecosystems on multiple spatial and temporal scales. Includes active-learning modules, group presentations, writing assignments.",MASC
6111,MASC 314,Earth Systems in a Changing World,"This course presents an integrated view of our planet, how it evolved during the past, why it has changed (and continues to change), and what makes Earth a habitable planet.",MASC
6112,MASC 316,Coastal Environmental Change," An exploration of the large-scale evolution of coastal environments, including relevance of geologic setting, wave and sediment transport processes, the evolution of beach and barrier island morphology, and issues of coastal environmental management.",MASC
6113,MASC 352,Marine Fisheries Ecology," Gives students a foundation in population biology and the ecological processes that influence populations of economically important fish and shellfish. Students will gain practical quantitative skills including statistical analyses, model development, and data visualization. Familiarity with introductory statistics concepts is preferred but not necessary.",MASC
6114,MASC 390,Special Topics in Marine Sciences (for Undergraduates),Special topics in marine sciences for undergraduate students.,MASC
6115,MASC 395,Undergraduate Research in Marine Sciences,Permission of a faculty research director. Directed readings with laboratory study on a selected topic.,MASC
6116,MASC 396,Independent Study in Marine Sciences,Permission of the instructor. Directed readings on a selected topic.,MASC
6117,MASC 401,Oceanography,"Required preparation, major in a natural science or two courses in natural sciences. Studies origin of ocean basins, seawater chemistry and dynamics, biological communities, sedimentary record, and oceanographic history. Term paper. Students lacking science background should see MASC 101. Students may not receive credit for both MASC 101 and MASC 401.",MASC
6118,MASC 410,Earth Processes in Environmental Systems, Principles of geological and related Earth systems sciences are applied to analyses of environmental phenomena. The link between the lithosphere and other environmental compartments is explored through case studies of environmental issues. Three lecture hours and one laboratory hour a week.,MASC
6119,MASC 411,Oceanic Processes in Environmental Systems," Principles of analysis of the ocean, coast, and estuarine environments and the processes that control these environments are applied to the analysis of environmental phenomena. Case studies of environmental issues. Three lecture hours and one laboratory hour a week.",MASC
6120,MASC 415,Environmental Systems Modeling," This course explores principles and strategies for studying environmental phenomena, and presents methods for developing explanatory and predictive models of environmental systems, e.g., predator-prey, estuaries, greenhouse gases, and ecosystem material cycles.",MASC
6121,MASC 432,Major World Rivers and Global Change: From Mountains to the Sea,"What are the linkages between rivers and global change? This course examines the hydrological, geological and biogeochemical processes that control material flux from land to the oceans via rivers.",MASC
6122,MASC 433,Wetland Hydrology,"Study of wetland ecosystems with particular emphasis on hydrological functioning, the transition from terrestrial to aquatic systems, wetlands as filtration systems, and exchange between wetlands and other environments.",MASC
6123,MASC 434,Blue Carbon and Coastal Environments,"Permission of the instructor is required. Readings and discussions about processes in traditional ""Blue Carbon"" environments (marshes, sea grass beds, and mangroves) and an exploration of carbon burial in other coastal ecosystems such as floodplains and oyster reefs.",MASC
6124,MASC 440,Marine Ecology, Survey of the ecological processes that structure marine communities in a range of coastal habitats. Course emphasizes experimental approaches to addressing basic and applied problems in marine systems.,MASC
6125,MASC 441,Marine Physiological Ecology,"This course introduces students to the physiological, morphological, and behavioral factors employed by marine organisms to cope with their physical environment. Emphasis will be placed on the response of marine organisms to environmental factors such as seawater temperature, light, water salinity, ocean acidification, etc.",MASC
6126,MASC 442,Marine Biology,"Recommended preparation, BIOL 201 or 475. A survey of plants and animals that live in the sea: characteristics of marine habitats, organisms, and the ecosystems will be emphasized. Marine environment, the organisms involved, and the ecological systems that sustain them.",MASC
6127,MASC 443,Marine Microbiology,"Restricted to junior or senior science majors or graduate students, with permission of the instructor.  Seminar class focuses on the primary research literature.  Physiology of marine microorganisms, microbial diversity and ecology of the marine environment, biogeochemical processes catalyzed by marine microorganisms.",MASC
6128,MASC 444,Marine Phytoplankton,"Permission of the instructor. For junior and senior science majors or graduate students. Biology of marine photosynthetic protists and cyanobacteria. Phytoplankton evolution, biodiversity, structure, function, biogeochemical cycles and genomics. Harmful algal blooms, commercial products, and climate change. Three lecture/practical session hours per week.",MASC
6129,MASC 445,Marine Invertebrate Biology,See BIOL 475 for description.,MASC
6130,MASC 446,Marine Microbial Symbioses: Exploring How Microbial Interactions Affect Ecosystems and Human Health,"Course material covers host-microbe and microbe-microbe interactions found in marine ecosystems, including beneficial and parasitic relationships among viruses, microbes, marine animals, and humans. Limited to upper-level undergraduate science majors and graduate students.",MASC
6131,MASC 447,Microbial Ecological Genomics,"Permission of the instructor. For junior and senior science majors and graduate students. Active learning class focused on sequencing and bioinformatic analysis of microbial genomes to identify their ecological function. Topics include sequencing technologies, genome assembly and analysis, command line, bioinformatic tools, and genes mediating microbial physiology and metabolism in natural ecosystems.",MASC
6132,MASC 448,Coastal and Estuarine Ecology," A field-intensive study of the ecology of marine organisms and their interactions with their environment, including commercially important organisms. Laboratory/recitation/field work is included and contributes two credit hours to the course.",MASC
6133,MASC 450,Biogeochemical Processes," Principles of chemistry, biology, and geology are applied to analysis of the fate and transport of materials in environmental systems, with an emphasis on those materials that form the most significant cycles. Three lecture hours and one laboratory hour a week.",MASC
6134,MASC 455,Geochemistry," Required preparation, one introductory geology course. Introduction to the application of chemical principles to geological problems. Topics include thermodynamics, kinetics, and isotope geochemistry. Previously offered as GEOL 512/MASC 553.",MASC
6135,MASC 460,Fluid Dynamics of the Environment," Principles and applications of fluid dynamics to flows of air and water in the natural environment. Conservation of momentum, mass, and energy applied to lakes, rivers, estuaries, and the coastal ocean. Dimensional analysis and scaling emphasized to promote problem-solving skills.",MASC
6136,MASC 470,Estuarine and Coastal Marine Science,"For graduate students; undergraduate students should take ENEC 222 or have permission of the instructor. Introduction to estuarine environments: geomorphology, physical circulation, nutrient loading, primary and secondary production, carbon and nitrogen cycling, benthic processes and sedimentation. Considers human impacts on coastal systems, emphasizing North Carolina estuaries.",MASC
6137,MASC 471,Human Impacts on Estuarine Ecosystems, A cohesive examination of the human impacts on biological processes in estuarine ecosystems. Laboratory/recitation/field work is included and contributes two credit hours to the course. Taught at off-campus field station.,MASC
6138,MASC 472,Barrier Island Ecology and Geology,"Recommended preparation, one introductory geology course. An integration of barrier island plant and animal ecology within the context of physical processes and geomorphological change. Emphasis on management and impact of human interference with natural processes.",MASC
6139,MASC 473,The Changing Coasts of Carolina,"A rigorous combination of field work, lab work, and colorful, original contemporary writing on the natural world will help tell the story of our many, evolving North Carolina coasts. Combining marine science and the creative literary arts, this immersive course will explore issues of change over many eras. This combination of social, cultural, and scientific observation will lead to imaginatively constructed, well-written non-fiction reportage about one of North America's most productive, compelling, and challenging regions.",MASC
6140,MASC 480,Modeling of Marine and Earth Systems," Mathematical modeling of dynamic systems, linear and nonlinear. The fundamental budget equation. Case studies in modeling transport, biogeochemical processes, population dynamics. Analytical and numerical techniques; chaos theory; fractal geometry.",MASC
6141,MASC 483,Geologic and Oceanographic Applications of Geographical Information Systems,"Required preparation, four GEOL courses or permission of the instructor. Focus is on applying GIS concepts and techniques to mining and petroleum geology, resource assessment, hydrogeology, coastal and marine geology, physical oceanography, engineering geology, and a geologic perspective on land use. Three lecture and two laboratory hours a week.",MASC
6142,MASC 490,Special Topics in Marine Sciences for Undergraduates and Graduates,"Directed readings, laboratory, and/or field study of marine science topics not covered in scheduled courses.",MASC
6143,MASC 503,Marine Geology,"For graduate students; undergraduates need permission of the instructor. Investigates formation of the oceans, plate tectonics, carbonate reefs and platforms, sediment transport from the land to deep-sea fans, glacial-marine geology, marine records of changes in sea level and climate, and the evolution of barrier islands, estuaries, and deltas. Mandatory weekend field trip to the Southern Outer Banks.",MASC
6144,MASC 504,Biological Oceanography,"For graduate students; undergraduates need permission of the instructor. Marine ecosystem processes pertaining to the structure, function, and ecological interactions of biological communities; management of biological resources; taxonomy and natural history of pelagic and benthic marine organisms. Three lecture and one recitation hours per week. Two mandatory weekend fieldtrips.",MASC
6145,MASC 505,Chemical Oceanography,"Graduate students only; undergraduates must have permission of the instructor. Overview of chemical processes in the ocean. Topics include physical chemistry of seawater, major element cycles, hydrothermal vents, geochemical tracers, air-sea gas exchange, particle transport, sedimentary processes, and marine organic geochemistry. Three lecture and two recitation hours per week.",MASC
6146,MASC 506,Physical Oceanography,"For graduate students; undergraduates need permission of the instructor. Descriptive oceanography, large-scale wind-driven and thermohaline circulations, ocean dynamics, regional and nearshore/estuarine physical processes, waves, tides. Three lecture and one recitation hour per week.",MASC
6147,MASC 550,Biogeochemical Cycling," Biogeochemical cycling explores interfaces of marine, aquatic, atmospheric, and geological sciences emphasizing processes controlling chemical distributions in sediments, fresh and salt water, the atmosphere, and fluxes among these reservoirs.",MASC
6148,MASC 552,Organic Geochemistry,"Recommended preparation, CHEM 261 or MASC 505, and one additional ENVR, GEOL, or MASC course above 400. Sources, transformations, and fate of natural organic matter in marine environments. Emphasis on interplay of chemical, biological, and physical processes that affect organic matter composition, distribution, and turnover.",MASC
6149,MASC 560,Fluid Dynamics," The physical properties of fluids, kinematics, governing equations, viscous incompressible flow, vorticity dynamics, boundary layers, irrotational incompressible flow.",MASC
6150,MASC 561,Time Series and Spatial Data Analysis," Three components: statistics and probability, time series analysis, and spatial data analysis. Harmonic analysis, nonparametric spectral estimation, filtering, objective analysis, empirical orthogonal functions.",MASC
6151,MASC 562,Turbulent Boundary Layers, Turbulence and transport in near-bottom boundary regions. Turbulence and mixing theory in boundary layers. Field deployment and recovery of turbulence measuring instruments. Data analysis from turbulence measurements.,MASC
6152,MASC 563,Descriptive Physical Oceanography," Observed structure of the large-scale and mesoscale ocean circulation and its variability, based on modern observations. In-situ and remote sensing techniques, hydrographic structure, circulation patterns, ocean-atmosphere interactions.",MASC
6153,MASC 581,Fluvial and Coastal Sediment Dynamics," Investigation of engineering equations for sediment transport in unidirectional flow, transport dynamics in coastal systems (waves and currents), and case studies from the literature for rivers through marine environments.",MASC
6154,MASC 705,How to Give a Seminar,"Discussion of methods and strategies for giving effective technical presentations. Topics will include seminar structure, use of visual aids, personal and professional presentation, and responding to questions.",MASC
6155,MASC 706,Student Interdisciplinary Seminar, Marine Sciences graduate students will prepare and present a seminar on an interdisciplinary topic from contemporary research in marine systems.,MASC
6156,MASC 730,Advanced Coastal Environmental Change," Focuses on biological-physical couplings that shape coastal environments (i.e. coastal 'ecomorphodynamics') and determine how these environments change with climate and land use. Environments include: barrier islands, open ocean coastlines, and tidal wetlands. Grading based on presentations, participation, and a research proposal.",MASC
6157,MASC 741,Seminar in Marine Biology,"Discussion of selected literature in the field of marine biology, ecology, and evolution.",MASC
6158,MASC 742,Molecular Population Biology," Hands-on training, experience, and discussion of the application of molecular genetic tools to questions of ecology, evolution, systematics, and conservation.",MASC
6159,MASC 750,Modeling Diagenetic Processes," An introduction to the theory and application of modeling biogeochemical processes in sediments. Diagenetic theory, numerical techniques, and examples of recently developed sediment models. Three lecture hours a week.",MASC
6160,MASC 761,Geophysical Fluid Dynamics," Momentum equations in a rotating reference frame, vorticity, potential vorticity, circulation, the shallow water model, Rossby and Kelvin waves, the Ekman layer. Three lecture hours a week.",MASC
6161,MASC 762,Ocean Circulation Theory," Theories, models of large-scale dynamics of ocean circulation. Potential vorticity, quasi-geostrophy, instabilities.",MASC
6162,MASC 763,Coastal Oceanography," Multi-disciplinary survey of circulation, sediment and biological processes operative in estuaries, on the shelf and at the shelf break.",MASC
6163,MASC 764,Ocean Circulation Modeling," Computational methods used in modeling oceanic circulation. Numerical solution of equations governing mass, momentum, and energy equations.",MASC
6164,MASC 765,Small-Scale Physics of the Ocean," Physics of sub-mesoscale processes in the ocean. Nonequilibrium thermodynamics. Air-sea interaction. Mixing in the ocean boundary layer, convection, double diffusion. Near-inertial and high frequency internal waves. Three lecture hours a week.",MASC
6165,MASC 781,"Numerical ODE/PDE, I"," Single, multistep methods for ODEs: stability regions, the root condition; stiff systems, backward difference formulas; two-point BVPs; stability theory; finite difference methods for linear advection diffusion equations.",MASC
6166,MASC 782,"Numerical ODE/PDE, II"," Elliptic equation methods (finite differences, elements, integral equations); hyperbolic conservation law methods (Lax-Fiedrich, characteristics, entropy condition, shock tracking/capturing); spectral, pseudo-spectral methods; particle methods, fast summation, fast multipole/vortex methods.",MASC
6167,MASC 783,Mathematical Modeling I," Nondimensionalization and identification of leading order physical effects with respect to relevant scales and phenomena; derivation of classical models of fluid mechanics (lubrication, slender filament, thin films, Stokes flow); derivation of weakly nonlinear envelope equations. Fall.",MASC
6168,MASC 784,Mathematical Modeling II," Current models in science and technology: topics ranging from material science applications (e.g., flow of polymers and LCPs); geophysical applications (e.g., ocean circulation, quasi-geostrophic models, atmospheric vortices).",MASC
6169,MASC 799,Experimental Graduate,Experimental graduate level courses as offered by the Department.,MASC
6170,MASC 893,Special Topics in Marine Geology,Special topics courses in Marine Geology as offered by Department.,MASC
6171,MASC 894,Special Topics in Biological Oceanography,Special topics courses in Biological Oceanography as offered by Department.,MASC
6172,MASC 895,Special Topics in Physical Oceanography,Special topics courses in Physical Oceanography as offered by Department.,MASC
6173,MASC 896,Special Topics in Chemical Oceanography,Special topics courses in Chemical Oceanography as offered by Department.,MASC
6174,MASC 897,Special Topics in Marine Sciences,Special topics courses in Marine Sciences as offered by Department.,MASC
6175,MASC 940,Research in Marine Sciences,No information available for this course,MASC
6176,MASC 993,Master's Research and Thesis,No information available for this course,MASC
6177,MASC 994,Doctoral Research and Dissertation,No information available for this course,MASC
6178,MTSC 615,Structure of Solids,"Crystallography, reciprocal lattices, Bloch waves, band structure, electronic wave functions, phonons, thermal expansion. Superlattice structures, including liquid crystals. Overview of properties of ceramic, amorphous, polymeric, and composite materials.",MTSC
6179,MTSC 710,Materials Science First Year Seminar: Resources for success in your PhD program,"The Materials Science graduate student seminar series is a 1-credit course required for first year MTSC students. It is designed to expose students to APS research and key resources and skills outside of course work that they will need to be successful in the PhD program and beyond. Sessions will include research talks by APS faculty, workshops by invited speakers internal and external to UNC, and presentations  by second year PhD students.",MTSC
6180,MTSC 711,Materials Science First Year Seminar:  Developing your plan for success,"Students gain knowledge and learn key skill-sets outside of their technical course work needed for success in their PhD program and beyond. MTSC 711 follows on the topics learned in MTSC 710 to broaden the professional development of materials science PhD students. Students work to develop an Individual Development Plan, to understand the variety of career paths available for PhD-holders, and to practice research presentations.",MTSC
6181,MTSC 715,Visualization in the Sciences,"Computational visualization applied in the natural sciences. For both computer science and natural science students. Available techniques and their characteristics, based on human perception, using software visualization toolkits. Project course.",MTSC
6182,MTSC 718,Seminar in Materials Science and Engineering,The Seminar in Materials Science and Engineering is a required 1-credit course for all Materials Science students in fall and spring semesters of years 2-5 of their doctoral program. The course tracks attendance at the required APS departmental seminars.  Attending departmental seminars is an important component of training for MTSC doctoral students.  Engaging in the seminars will help students gain a working knowledge of a variety of research areas important to their doctoral research.,MTSC
6183,MTSC 720,Materials Fabrication,"Permission of the department. Introduction to materials fabrication and characterization techniques. Includes single crystal growth, thin film deposition, synthesis of quantum dots and nanotubes/nanowires, dielectric and electron emissive materials, nanocomposites, bioceramics, and energy storage materials.",MTSC
6184,MTSC 730,Statistical Thermodynamics,"Permission of the instructor. Theory of ensembles and interactions in statistical mechanics. Classical and quantum statistics. Applications to simple systems: ideal gas, heat capacity of solids, blackbody radiation, phase transitions.",MTSC
6185,MTSC 735,Techniques in Materials Science,"Permission of the department. Lecture and laboratory in materials analysis techniques, including microscopy, X-ray diffraction and fluorescence, magnetic resonance, thermal analysis, XPS, channeling and RBS, mechanical properties, optical spectroscopy.",MTSC
6186,MTSC 740,Advanced Biomaterials," Medical or dental implants or explants are highlighted from textbooks, scientific literature, and personal accounts.",MTSC
6187,MTSC 745,Chemistry of Biomaterials,"Focuses on the chemistry and chemical structure-function relationships of soft synthetic biological materials. Topics include chemistry of proteins, peptides, nucleic acids, polysaccharides and lipids, and their incorporation into biomaterials and biosensors; enzymatic reactions; chemical modification of organic and inorganic surfaces using self-assembled monolayer chemistries, bioconjugation chemistries, synthesis of nanoparticles and their application as sensors, application of biological materials for logic operations, fundamentals of supramolecular chemistry.",MTSC
6188,MTSC 750,"Kinetics, Diffusion, and Phase Transitions of Materials","Reaction kinetics in bulk materials. Mass transport, microstructural transformations, and phase transitions in condensed phases. Atom diffusion in solids. Spinodal decomposition.",MTSC
6189,MTSC 755,Polymer Processing and Properties,"How does one process ultrahigh molecular weight polyethylene into ultra-strong fibers or how would you design a polymer shape-memory actuator? Polymer chemistry is important but equally important is the way how polymers are processed. In this course we will discuss the relationship between polymer chemistry, processing and the final, after processing, properties. (We will discuss different processing methods that are currently in use), and which parameters play a role in controlling the final properties.",MTSC
6190,MTSC 760,Complex Fluids: Theory and Applications,"Complex fluids are materials we encounter everyday such as pastes, gels, foams, blood, and tissue, yet ones that cannot be categorized within the traditional three states of matter (solid/gas/liquid). In this course, we introduce the main physical and mathematical concepts of the continuum mechanics of complex fluids and follow with microscopic approaches. The course is designed to focus on both theory and applications with hands-on activities and examples.",MTSC
6191,MTSC 765,Electronic Materials and Devices - Organic and Inorganic,"The course introduces the electronic and optical processes in organic molecules and polymers that govern the behavior of practical organic optoelectronic devices. The course begins with an overview of fundamental science of electronic materials and devices. We then discuss their optoelectronic properties of organic molecules, including topics from photophysics, charge transport and injection. Emphasis will be equally placed on the use of both inorganic and organic electronic materials in organic electronic devices.",MTSC
6192,MTSC 780,Advanced Materials Science,"This course covers the physical fundamentals of material science with an in-depth discussion of structure formation in soft and hard materials and how structure determines material mechanical, electrical, thermal, and optical properties. Topics include amorphous and crystal structures, defects, dislocation theory, thermodynamics and phase diagrams, diffusion, interfaces and microstructures, solidification, and theory of phase transformation. Special emphasis will be on the structure-property relationships of (bio)polymers, (nano)composites, and their structure property relationships.",MTSC
6193,MTSC 785,Introduction to Scientific Computing for Materials,"An introduction to scientific computing key concepts and applying these concepts to solve problems, focusing on materials science and engineering. An overview of the mathematics basis of each numerical technique is followed with computer programming during and outside of class to apply those techniques. The course will require a final project to understand application software commonly used in materials science and engineering, including molecular dynamics (MD) software and in continuum modeling software.",MTSC
6194,MTSC 810,Device Physics and Electronic Properties of Solids," Survey of crystal structure, bandstructure, transport. Overview of FETs, heterostructures, light emission, dissipation, noise, integrated circuits, solar cells, and ceramics. Emphasis on physical sources of device behavior.",MTSC
6195,MTSC 820,Optical Properties of Solids," Reflection, waveguides, nonlinear optics, optical switching, photorefraction, optical storage. Optical coupling to electronic states, device applications, optical computing.",MTSC
6196,MTSC 830,Ion-Solid Interactions," Interatomic potentials, range distribution, radiation damage, annealing, secondary defects, analytical techniques, silicon-based devices, implantation in compound semiconductors, and buried layer synthesis. Ion implantation in metals, ceramics, polymers, and biomaterials.",MTSC
6197,MTSC 840,New Technologies and Device Architecture," Survey of novel and emerging device technologies. Resonant tunneling transistors, HEMT, opto-electronic devices and optical communication and computation, low-temperature electronic, hybrid superconductor devices.",MTSC
6198,MTSC 871,Solid State Physics," Equivalent experience for students lacking the prerequisite. Topics considered include those of PHYS 573, but at a more advanced level, and in addition a detailed discussion of the interaction of waves (electromagnetic, elastic, and electron waves) with periodic structures, e.g., X-ray diffraction, phonons, band theory of metals and semiconductors.",MTSC
6199,MTSC 872,Solid State Physics II," Topics considered include quantum and thermal fluctuations, and thermodynamics of phase transitions in a broad variety  of condensed matter systems, their kinetic theory and hydrodynamics, novel materials (two-dimensional electron gas, graphene, topological insulators and superconductors, Dirac/Weyl/nodal line semimetals), condensed matter applications of modern field-theoretical methods (path integral, renormalization group, holography).",MTSC
6200,MTSC 891,Special Topics in Material Science,"Permission of the department. Current topics in materials science, including electronic and optical materials, polymers, and biomaterials.",MTSC
6201,MTSC 892,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6202,MTSC 893,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6203,MTSC 894,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6204,MTSC 895,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduates students.,MTSC
6205,MTSC 896,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduates.,MTSC
6206,MTSC 897,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6207,MTSC 898,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6208,MTSC 899,Special Topics in Material Sciences,Advanced specialty topics in material sciences for graduate students.,MTSC
6209,MTSC 992,Master's (Non-Thesis),No information available for this course,MTSC
6210,MTSC 993,Master's Research and Thesis,Permission of the department.,MTSC
6211,MTSC 994,Doctoral Research and Dissertation,Permission of the department.,MTSC
6212,MHCH 605,Breastfeeding and Global Health Seminar,"This survey course will briefly cover the principal topics in this broad field of knowledge, including domestic and global issues.",MHCH
6213,MHCH 610,Issues in Maternal and Child Health,Permission of the instructor. For students outside the department of MCH who desire a survey of current issues and programs in maternal and child health. Three lecture hours per week.,MHCH
6214,MHCH 611,Food And Your Life Stages," This course covers nutrition during the life cycle. Units include women during preconception, pregnancy, and lactation; infancy; childhood; adolescence; and older adults (65+). Nutrient and energy needs, assessment of nutritional status, and cultural and socioeconomic barriers are discussed for each phase.",MHCH
6215,MHCH 625,Injury as a Public Health Problem," This course examines unintentional injuries from a public health perspective. The course covers core concepts in injury prevention and control, including the epidemiology of unintentional injury, prevention strategies, behavioral models, child and adolescent injury, messaging framing, the Haddon matrix, and injury surveillance.",MHCH
6216,MHCH 626,Violence as a Public Health Problem," This course covers core concepts in violence prevention and control, including the epidemiology of violence, prevention strategies for inter-personal and intra-personal violence, behavioral models that describe power structures that reinforce personal and societal factors affecting self-harm and violence towards others, and violence directed towards children and adolescents.",MHCH
6217,MHCH 664,Globalization and Health,"Globalization--its economic, environmental, political, technological, institutional, and sociocultural dimensions--historically and currently contributes to beneficial and adverse effects on population, community, and family and individual health.",MHCH
6218,MHCH 665,Introduction to Racial and Ethnic Health Disparities,Eliminating health disparities is a national goal for improving the health of Americans. Little to no progress has been made on eliminating disparities among racial/ethnic subpopulations compared to the population of the United States. This course treats basic concepts about the origins of and contributing factors for health disparities.,MHCH
6219,MHCH 680,Global Sexual and Reproductive Health,"Featuring international experts from UNC-Chapel Hill and Triangle-based nongovernmental organizations, this course will offer a series of lectures, panel discussions, and debates to inform students' critical thinking on key public health issues in global sexual and reproductive health.",MHCH
6220,MHCH 685,Human Sexuality,"Through lectures and panel discussions this course will use a life span framework to examine selected aspects of sexual development, including perspectives on sexuality; the physical self; sexual attraction, behavior, and relationships; and the implications of these factors for physical and mental health. No prerequisites; all students are welcome.",MHCH
6221,MHCH 690,Special Topics in Maternal Health and Child Health,Special topics in maternal health and child health.  Content will vary from semester to semester.,MHCH
6222,MHCH 701,Foundations of Maternal and Child Health I,"This course introduces the major issues affecting the health and well-being of women during the reproductive years, infants, children, and adolescents in domestic and international settings. First semester of a two-semester course. Permission of the instructor for non-majors.",MHCH
6223,MHCH 702,Foundations of Maternal and Child Health II," Permission of the instructor for nonmajors. Second part of a two-part course that introduces the major issues affecting the health and well-being of women during the reproductive years, infants, children and adolescents in domestic and international settings. Second semester of a two-semester course.",MHCH
6224,MHCH 704,Critical Review of an Infant Feeding Issue,This independent study will include selection of a research area that would allow preparation of a coauthored paper for peer-review publication on an approved subject related to infant and young child feeding and care and associated maternal health and nutrition issues.,MHCH
6225,MHCH 710,Leadership in Maternal and Child Health,"This course is designed to integrate the theory, research literature, and evidence-supported practices related to leadership in maternal and child health. Students will consider each of the twelve core competencies within the spheres of influence that leaders experience as they develop. Students will hear from public health professionals in the field, consider perspectives of various stakeholders and examine/apply new skills.",MHCH
6226,MHCH 713,Research Methods in Maternal and Child Health,"Permission of the instructor for nonmajors. The art and science of MCH research, with an emphasis on applied survey research. Student groups will design and carry out a small study, and present their findings in a poster presentation. Focuses on assessment of MCH population characteristics, secondary data analysis, and the evaluation of MCH programs. A practicum-based course. Three lecture hours per week.",MHCH
6227,MHCH 713L,Research and Evaluation Methods in Maternal and Child Health Lab," Permission of the instructor for nonmajors. The MHCH 713 lab, which is a companion course to MHCH 713, introduces students to statistical analysis using Stata. One hour and 15 minutes of lab per week.",MHCH
