Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
1881,MATH 7050 , Topics in Mathematics ,"Topics chosen from such fields as algebra, topology, analysis, applied mathematics, differential geometry, mathematical physics, graph theory, probability, statistics. ",Mathematics Education,UNCC
1882,MATH 7065 , Topics in Applied Algebra and Algebraic Structures ,Current topics in Applied Algebra and Algebraic Structure.,Mathematics Education,UNCC
1883,MATH 7070 , Topics in Numerical Analysis ,Topics of current interest in numerical analysis. ,Mathematics Education,UNCC
1884,MATH 7071 , Topics in Differential Equations ,"Topics of current interest in ODE, PDE, dynamical systems, inverse problems and related subjects. ",Mathematics Education,UNCC
1885,MATH 7120 , Probability Theory I ,"Topics include: probability spaces, probability measures, sigma-algebras, characteristic functions, sequences of random variables, law of large numbers, general forms of the Central Limit Theorem.",Mathematics Education,UNCC
1886,MATH 7121 , Probability Theory II ,A continuation of MATH 7120 .,Mathematics Education,UNCC
1887,MATH 7125 , Stochastic Processes I ,"Basic ideas in the study of stochastic processes, selected from: discrete and continuous time Markov processes, stationary and renewal processes, applications to queuing theory, reliability theory, stochastic differential equations, time-series analysis, filtering and stochastic control theory.",Mathematics Education,UNCC
1888,MATH 7126 , Stochastic Processes II ,A continuation of MATH 7125 .,Mathematics Education,UNCC
1889,MATH 7141 , Complex Analysis I ,"Holomorphic functions, complex integration, residues, entire and meromorphic functions, conformal mapping, harmonic functions.",Mathematics Education,UNCC
1890,MATH 7142 , Complex Analysis II ,A continuation of MATH 7141 .,Mathematics Education,UNCC
1891,MATH 7143 , Real Analysis I ,"Lebesgue integration on the real line, Lp spaces, introduction to general measure and integration theory.",Mathematics Education,UNCC
1892,MATH 7144 , Real Analysis II ,A continuation of MATH 7143 .,Mathematics Education,UNCC
1893,MATH 7147 , Applied Functional Analysis ,"Introduction to functional analysis and its applications to such areas as linear and nonlinear differential equations, integral equations, and control theory. Topics chosen from Banach spaces, operators, the Hahn-Banach, open mapping and closed graph theorems, Sobolev spaces, spectral theory, operators in Hilbert space.",Mathematics Education,UNCC
1894,MATH 7148 , Functional Analysis ,"Material selected from: spectral theory, spectral theory of differential operators, groups and semigroups of operators, nonlinear functional analysis, asymptotic analysis, integral equations, Fourier analysis, distributions, and Sobolev spaces.",Mathematics Education,UNCC
1895,MATH 7163 , Modern Algebra I ,"Topics include: Galois theory, commutative algebra, modules, ring theory, homological algebra.",Mathematics Education,UNCC
1896,MATH 7164 , Modern Algebra II ,A continuation of MATH 7163 .,Mathematics Education,UNCC
1897,MATH 7172 , Partial Differential Equations ,"Harmonic functions, mean-value theorem, maximum principle, Green’s representation for the solution of the Dirichlet problem for Laplace’s equation; Poisson’s equations and the Poisson formula; statement and proof of the existence theorem for general second-order elliptic operators, generalized maximum principles; Sobolev spaces. Evolution equations involving elliptic operators, such as the heat or wave equations, may also be introduced.",Mathematics Education,UNCC
1898,MATH 7173 , Evolution Equations ,"Semigroups of operators and their generators, examples of semigroups. The heat equation, examples of elliptic operators that generate semigroups, Hille-Yosida theory, analytic semigroups; examples, fractional powers of operators.",Mathematics Education,UNCC
1899,MATH 7174 , Linear and Nonlinear Waves ,"Hyperbolic waves, characteristics, Riemann invariants, conservation laws, weak solutions, shock structure. Burger’s equation, gas dynamics, dispersive waves, group velocity, water waves, nonlinear optics.",Mathematics Education,UNCC
1900,MATH 7175 , Inverse Problems ,Ill-posed problems and numerical methods for them. Applications of inverse problems to real processes. One dimensional inverse problems. Multi-dimensional inverse problems: uniqueness and numerical methods. Inverse scattering problems.,Mathematics Education,UNCC
1901,MATH 7176 , Advanced Numerical Analysis ,"A selection of topics from such areas as iterative methods of solving linear and nonlinear systems of equations, approximation theory, splines, and finite element methods for partial differential equations.",Mathematics Education,UNCC
1902,MATH 7177 , Applied Optimal Control ,"Examples of control systems and optimization problems, optimal control of discretetime systems, solutions of the general discrete-time optimization problem, optimal control of continuoustime systems, the calculus of variations, solution of the general continuous optimization problem, applications of the Pontryagin Maximum Principle, Dynamic programming, and Bang-bang control. Controllability and differential games may also be introduced.",Mathematics Education,UNCC
1903,MATH 7178 , Computational Methods for Fluid Dynamics ,"Topics on various numerical techniques for the solution of incompressible and compressible flows. Finite difference, finite element and spectral methods, and shock capturing and fitting methods. Multi-grid method and acceleration techniques.",Mathematics Education,UNCC
1904,MATH 7179 , Advanced Finite Difference Methods ,"Accuracy analysis and design of high order schemes, stability theory of schemes with variable coefficients, stability theory of schemes for initial-boundary value problems, convergence theory for nonlinear cases.",Mathematics Education,UNCC
1905,MATH 7180 , Advanced Numerical Methods in Scientific Computing ,"Introduces advanced numerical methods in scientific computing.  Topics include:  Particle-Mesh Ewald and the Fast multipole methods, boundary element methods, absorbing and perfectly matched layered boundary conditions, Yee’s finite difference and discontinuous Galerkin methods, surface integral equation methods, Nedelec edge elements for Maxwell equations, Bloch theory and periodic structures and photonics, Boltzmann and Wigner kinetic methods, high resolution Godunov methods and WENO methods for hydrodynamic equations, particle-in-cell and constrained transport methods for magnetohydrodynamics.",Mathematics Education,UNCC
1906,MATH 7181 , Topology I ,"Topological spaces, continuous functions, connectedness, compactness, and metrizability, and further topics from point-set, geometric or algebraic topology.",Mathematics Education,UNCC
1907,MATH 7182 , Topology II ,A continuation of MATH 7181 .,Mathematics Education,UNCC
1908,MATH 7184 , Differential Geometry I ,"Manifolds, differential structures, tangent bundles, embeddings, immersions, inverse function theorem, Morse-Sard theorem, transversality, Borsuk-Ulam theorem, vector bundles, Euler characteristics, Morse theory, Stokes theorem, Gauss-Bonnet theorem, Whitney embedding theorem.",Mathematics Education,UNCC
1909,MATH 7185 , Differential Geometry II ,"Differentiable manifolds, differential forms, critical points, local and global theory of curves, local and global theory of surfaces, connections, geodesics, curvature, spaces of constant curvature, Lie groups and Lie algebras.",Mathematics Education,UNCC
1910,MATH 7273 , Advanced Finite Element Analysis ,"Selection of topics from such areas of finite element analysis as convergence theorems (Ciarlet), hierarchical basis functions, the hp method, adaptive grid techniques and solution methods for nonlinear equations.",Mathematics Education,UNCC
1911,MATH 7275 , Dynamical Systems I ,"Cycles and separatrix cycles, Poincaré first-return map: diffeomorphisms, Poincaré-Bendixson Theory, flows on the two-torus; structural stability, genericity, Peixoto’s theorem; singularities of planar systems. Degenerate singularities, Hopf bifurcation, saddle-node bifurcation, center bifurcation.",Mathematics Education,UNCC
1912,MATH 7276 , Dynamical Systems II ,"Method of averaging, Melnikov functions, hyperbolic structure, symbolic dynamics, homoclinic and heteroclinic orbits, global bifurcations, infinite dimensional dynamical systems, inertial manifolds, Lyapunov exponents and dimension of attractors, codimensiontwo bifurcations, Duffing’s equation, Lorenz equations, finite dimensional systems of dimension at least three.",Mathematics Education,UNCC
1913,MATH 7277 , Bifurcation Theory ,"Implicit function theorem, manifolds and transversality, Newton polygons, Lyapunov center theorem, variational methods, Ljusternik-Schnirelman theory, mountain-pass theorem, bifurcations with onedimensional null-spaces, Morse theory and global bifurcations, geometric theory of partial differential equations.",Mathematics Education,UNCC
1914,MATH 7691 , Research Seminar ,A seminar in which independent study may be pursued by the student or a group of students under the direction of a professor.,Mathematics Education,UNCC
1915,MATH 7692 , Research Seminar ,A continuation of MATH 7691 .,Mathematics Education,UNCC
1916,MATH 7890 , Industrial Internship ,Full- or part-time academic year or summer internship in mathematics and/or statistics complementary to the student’s major course of study and designed to allow theoretical and course-based practical learning to be applied in a supervised industrial experience. Each student’s program must be approved by the department’s graduate coordinator. Requires a mid-term report and final report to be graded by the supervising faculty. Grading on a Pass/Unsatisfactory basis. Credit hours gained from the internship are not be counted toward the courses leading to advancement to candidacy.,Mathematics Education,UNCC
1917,MATH 7893 , Thesis ,"Subject to the approval of the department Graduate Committee, the thesis may be original work, work of an expository nature, or the mathematical formulation and solution of a particular industrial or business problem suggested by the career interests of the student. The thesis must be defended in an oral presentation.",Mathematics Education,UNCC
1918,MATH 8028 , Topics in Probability ,Topics of current interest in probability and advanced topics in probability.,Mathematics Education,UNCC
1919,MATH 8050 , Topics in Mathematics ,"Topics chosen from such fields as algebra, topology, analysis, applied mathematics, differential geometry, mathematical physics, graph theory, probability, statistics. ",Mathematics Education,UNCC
1920,MATH 8065 , Topics in Applied Algebra and Algebraic Structures ,Current topics in Applied Algebra and Algebraic Structure.,Mathematics Education,UNCC
1921,MATH 8070 , Topics in Numerical Analysis ,Topics of current interest in numerical analysis.,Mathematics Education,UNCC
1922,MATH 8071 , Topics in Differential Equations ,"Topics of current interest in ODE, PDE, dynamical systems, inverse problems and related subjects.  ",Mathematics Education,UNCC
1923,MATH 8120 , Probability Theory I ,"Topics include:  probability spaces, probability measures, sigma-algebras, characteristic functions, sequences of random variables, law of large numbers, general forms of the Central Limit Theorem.",Mathematics Education,UNCC
1924,MATH 8121 , Probability Theory II ,A continuation of MATH 8120 .,Mathematics Education,UNCC
1925,MATH 8125 , Stochastic Processes I ,"Basic ideas in the study of stochastic processes, selected from: discrete and continuous time Markov processes, stationary and renewal processes, applications to queuing theory, reliability theory, stochastic differential equations, time-series analysis, filtering and stochastic control theory.",Mathematics Education,UNCC
1926,MATH 8126 , Stochastic Processes II ,A continuation of MATH 8125 .,Mathematics Education,UNCC
1927,MATH 8141 , Complex Analysis I ,"Holomorphic functions, complex integration, residues, entire and meromorphic functions, conformal mapping, harmonic functions.  ",Mathematics Education,UNCC
1928,MATH 8142 , Complex Analysis II ,A continuation of MATH 8141 .,Mathematics Education,UNCC
1929,MATH 8143 , Real Analysis I ,"Lebesgue integration on the real line, Lp spaces, introduction to general measure and integration theory.",Mathematics Education,UNCC
1930,MATH 8144 , Real Analysis II ,A continuation of MATH 8143 .,Mathematics Education,UNCC
1931,MATH 8147 , Applied Functional Analysis ,"Introduction to functional analysis and its applications to such areas as linear and nonlinear differential equations, integral equations, and control theory.  Topics chosen from Banach spaces, operators, the Hahn-Banach, open mapping and closed graph theorems, Sobolev spaces, spectral theory, operators in Hilbert space.",Mathematics Education,UNCC
1932,MATH 8148 , Functional Analysis ,"Material selected from: spectral theory, spectral theory of differential operators, groups and semigroups of operators, nonlinear functional analysis, asymptotic analysis, integral equations, Fourier analysis, distributions, and Sobolev spaces.  ",Mathematics Education,UNCC
1933,MATH 8163 , Modern Algebra I ,"Topics selected from Galois theory, commutative algebra, modules, ring theory, homological algebra.  ",Mathematics Education,UNCC
1934,MATH 8164 , Modern Algebra II ,A continuation of MATH 8163 .,Mathematics Education,UNCC
1935,MATH 8172 , Partial Differential Equations ,"Harmonic functions, mean-value theorem, maximum principle, Green’s representation for the solution of the Dirichlet problem for Laplace’s equation; Poisson’s equations and the Poisson formula; statement and proof of the existence theorem for general second-order elliptic operators, generalized maximum principles; Sobolev spaces.  Evolution equations involving elliptic operators, such as the heat or wave equations, may also be introduced. ",Mathematics Education,UNCC
1936,MATH 8173 , Evolution Equations ,"Semigroups of operators and their generators, examples of semigroups.  The heat equation, examples of elliptic operators that generate semigroups, Hille-Yosida theory, analytic semigroups; examples, fractional powers of operators.",Mathematics Education,UNCC
1937,MATH 8174 , Linear and Nonlinear Waves ,"Hyperbolic waves, characteristics, Riemann invariants, conservation laws, weak solutions, shock structure. Burger’s equation, gas dynamics, dispersive waves, group velocity, water waves, nonlinear optics.",Mathematics Education,UNCC
1938,MATH 8175 , Inverse Problems ,Ill-posed problems and numerical methods for them.  Applications of inverse problems to real processes.  One dimensional inverse problems. Multi-dimensional inverse problems: uniqueness and numerical methods. Inverse scattering problems.,Mathematics Education,UNCC
1939,MATH 8176 , Advanced Numerical Analysis ,"A selection of topics from such areas as iterative methods of solving linear and nonlinear systems of equations, approximation theory, splines, and finite element methods for partial differential equations.  ",Mathematics Education,UNCC
1940,MATH 8177 , Applied Optimal Control ,"Examples of control systems and optimization problems, optimal control of discrete-time systems, solutions of the general discrete-time optimization problem, optimal control of continuous-time systems, the calculus of variations, solution of the general continuous optimization problem, applications of the Pontryagin Maximum Principle, Dynamic programming, and Bang-bang control. Controllability and differential games may also be introduced.  ",Mathematics Education,UNCC
1941,MATH 8178 , Computational Methods for Fluid Dynamics ,"Topics on various numerical techniques for the solution of incompressible and compressible flows.  Finite difference, finite element and spectral methods, and shock capturing and fitting methods.  Multi-grid method and acceleration techniques.",Mathematics Education,UNCC
1942,MATH 8179 , Advanced Finite Difference Methods ,See MATH 7179  for course description. ,Mathematics Education,UNCC
1943,MATH 8180 , Advanced Numerical Methods in Scientific Computing ,"Introduces advanced numerical methods in scientific computing.  Topics include:  Particle-Mesh Ewald and the Fast multipole methods, boundary element methods, absorbing and perfectly matched layered boundary conditions, Yee’s finite difference and discontinuous Galerkin methods, surface integral equation methods, Nedelec edge elements for Maxwell equations, Bloch theory and periodic structures and photonics, Boltzmann and Wigner kinetic methods, high resolution Godunov methods and WENO methods for hydrodynamic equations, particle-in-cell and constrained transport methods for magnetohydrodynamics.",Mathematics Education,UNCC
1944,MATH 8181 , Topology I ,"Topological spaces, continuous functions, connectedness, compactness, and metrizability, and further topics from point-set, geometric or algebraic topology.",Mathematics Education,UNCC
1945,MATH 8182 , Topology II ,A continuation of MATH 8181 .,Mathematics Education,UNCC
1946,MATH 8184 , Differential Geometry I ,"Manifolds, differential structures, tangent bundles, embeddings, immersions, inverse function theorem, Morse-Sard theorem, transversality, Borsuk-Ulam theorem, vector bundles, Euler characteristics, Morse theory, Stokes theorem, Gauss-Bonnet theorem, Whitney embedding theorem.",Mathematics Education,UNCC
1947,MATH 8185 , Differential Geometry II ,"Differentiable manifolds, differential forms, critical points, local and global theory of curves, local and global theory of surfaces, connections, geodesics, curvature, spaces of constant curvature, Lie groups and Lie algebras.",Mathematics Education,UNCC
1948,MATH 8202 , Partial Differential Equations for Finance ,This course deals with those partial differential equations which are associated with financial derivatives based on factors such as equities and spot interest rates.Cross-listed as: MATH 6202 .  ,Mathematics Education,UNCC
1949,MATH 8203 , Stochastic Calculus for Finance ,"An introduction to those aspects of partial differential equations and diffusion processes most relevant to finance, Random walk and first-step analysis, Markov property, martingales and semi-martingales, Brownian motion. Stochastic differential equations: Ito’s lemma, backward and forward Kolmogorov equations, the Feynman-Kac formula, stopping times, Hull and White Models, Cox-Ingersoll-Ross Model. Applications to finance including portfolio optimization and option pricing.Cross-listed as: MATH 6203 .  ",Mathematics Education,UNCC
1950,MATH 8204 , Numerical Methods for Financial Derivatives ,Introduction to numerical and computational techniques for solving both European- and American-style financial derivatives.  The approach is the finite difference method and the basic theoretical concepts are introduced.  Final projects involve implementing the techniques on computers.  Some spectral and Monte Carlo methods are also be discussed. Cross-listed as: MATH 6204 .  ,Mathematics Education,UNCC
1951,MATH 8206 , Stochastic Calculus for Finance II ,"The applications of stochastic calculus techniques to advanced financial modeling.  Topics include:  pricing of European, American, and fixed-income derivatives in the Black-Scholes and stochastic volatility models.  The Jump-diffusion model is also introduced.",Mathematics Education,UNCC
1952,MATH 8273 , Advanced Finite Element Analysis ,"Selection of topics from such areas of finite element analysis as convergence theorems (Ciarlet), hierarchical basis functions, the h-p method, adaptive grid techniques and solution methods for nonlinear equations.",Mathematics Education,UNCC
1953,MATH 8275 , Dynamical Systems I ,"Cycles and separatrix cycles, Poincaré first-return map: diffeomorphisms, Poincaré-Bendixson Theory, flows on the two-torus; structural stability, genericity, Peixoto’s theorem; singularities of planar systems. Degenerate singularities, Hopf bifurcation, saddle-node bifurcation, center bifurcation.",Mathematics Education,UNCC
1954,MATH 8276 , Dynamical Systems II ,"Method of averaging, Melnikov functions, hyperbolic structure, symbolic dynamics, homoclinic and heteroclinic orbits, global bifurcations, infinite dimensional dynamical systems, inertial manifolds, Lyapunov exponents and dimension of attractors, codimension-two bifurcations, Duffing’s equation, Lorenz equations, finite dimensional systems of dimension at least three.",Mathematics Education,UNCC
1955,MATH 8277 , Bifurcation Theory ,"Implicit function theorem, manifolds and transversality, Newton polygons, Lyapunov center theorem, variational methods, Ljusternik-Schnirelman theory, mountain-pass theorem, bifurcations with one-dimensional null-spaces, Morse theory and global bifurcations, geometric theory of partial differential equations.",Mathematics Education,UNCC
1956,MATH 8691 , Research Seminar ,A seminar in which independent study may be pursued by the student or a group of students under the direction of a professor.  ,Mathematics Education,UNCC
1957,MATH 8692 , Research Seminar ,A continuation of MATH 8691 .,Mathematics Education,UNCC
1958,MATH 8890 , Industrial Internship ,Full- or part-time academic year or summer internship in mathematics and/or statistics complementary to the student’s major course of study and designed to allow theoretical and course-based practical learning to be applied in a supervised industrial experience.  Each student’s program must be approved by the department’s Graduate Program Director.  Requires a mid-term report and final report to be graded by the supervising faculty.  Grading on a Pass/Unsatisfactory basis.  Credit hours gained from the internship are not be counted toward the courses leading to advancement to candidacy.  ,Mathematics Education,UNCC
1959,MATH 8994 , Doctoral Research and Reading ,Investigation of a topic in mathematics culminating in a research paper.,Mathematics Education,UNCC
1960,MATH 8999 , Doctoral Dissertation Research ,Individual investigation and research leading to the preparation of a doctoral dissertation.,Mathematics Education,UNCC
1961,MDLG 5130 , The Middle Grades Experience ,Current curricular and instructional programs and their impact on the learning of contemporary adolescents. Reform efforts currently underway in American schools that attempt to address issues surrounding these and other current practices. Developmental characteristics of the early adolescent learner. Extensive clinical experience required. ,Mechanical Engineering and Engineering Science,UNCC
1962,MDLG 6225 , Issues in Middle Grades Education ,"Examination of educational practices in the middle grades (6-9) including trends and issues unique to that philosophy. Emphasis on broadening understanding of foundational components, organizational patterns, instructional programs and management techniques. ",Mechanical Engineering and Engineering Science,UNCC
1963,MDLG 6800 , Individual Study in Middle Grades Education ,Independent study under the supervision of an appropriate faculty member.,Mechanical Engineering and Engineering Science,UNCC
1964,MDSK 5000 , Topics in Middle and Secondary Education ,"May include classroom and/or clinical experiences in the content area. With department approval, ",Mental Health Nursing,UNCC
1965,MDSK 5251 , Teaching Science to Middle and Secondary School Learners ,Comprehensive overview of both science education and the nature of science. Planning and implementing effective learning experiences and assessment for both the number and the diversity of learners in a middle or secondary science classroom. Extensive clinical experience required. ,Mental Health Nursing,UNCC
1966,MDSK 5253 , Teaching Social Studies to Middle and Secondary School Learners ,"Comprehensive overview of history and social studies education with an emphasis on providing opportunities for history and social studies teachers to create relevant, stimulating, content specific lessons for the diversity of students in middle or secondary schools. Extensive clinical experience required. ",Mental Health Nursing,UNCC
1967,MDSK 6142 ," Readings in Assessment, Measurement, and Student Achievement ",An examination of research-based assessment strategies for the 6-12 classroom. Practitioners construct appropriate assessment items with a focus on reliability and validity. Interpretation and utilization of student outcomes to improve classroom practice is emphasized. No clinical experience required. ,Mental Health Nursing,UNCC
1968,MDSK 6150 , Models of Teaching ,"Learning theory associated with information processing, personal, social, and behavioral models; current trends in instructional methodology for a variety of content areas. ",Mental Health Nursing,UNCC
1969,MDSK 6156 ," Curriculum, Teaching, and Contemporary Issues in Education ","A consolidated examination of curriculum and learning theory with emphasis on educational reform and the origins of contemporary issues in education. Merges curriculum and learning theory to examine contemporary issues in education. Drawing from the field of curriculum studies, attention is given to historical roots of curriculum and important theorists, educational reform and the change process, as well as global comparisons among American and international educational systems. Approaches learning theory associated with information processing, personal, social, and behavior models as a foundation of current content area instructional methodology. ",Mental Health Nursing,UNCC
1970,MDSK 6162 , Planning for K-12 Instruction ,"Introduction to the systematic process of planning for effective classroom instruction and assessment. Special attention is given to the related use of technology in the development of effective and systematic learning environments. Recommended as a prerequisite for EDUC 5100  and most of the methods courses, as students need lesson planning skills to be successful in most other courses. Extensive clinical experience required. ",Mental Health Nursing,UNCC
1971,MDSK 6220 , Adolescence and Learning ,Study of adolescence as a phase of development and its relationship to the learning process. ,Mental Health Nursing,UNCC
1972,MDSK 6250 , Issues in 6-12 Science Education ,"Orientation to content, curriculum and methods appropriate for teaching science. Emphasis is on a critical examination of current trends and practices in the teaching of science. ",Mental Health Nursing,UNCC
1973,MDSK 6251 , Issues in 6-12 Mathematics Education ,"Orientation to content, curriculum and methods appropriate for teaching mathematics. Emphasis is on critical examination of current trends and practices in the teaching of mathematics. ",Mental Health Nursing,UNCC
1974,MDSK 6254 , Issues in 6-12 Social Studies Education ,"Current issues in teaching and learning social studies. Emphasis on current trends in curriculum, advanced instructional methods, and research. ",Mental Health Nursing,UNCC
1975,MDSK 6260 , Teacher Leadership ,"An examination of the current research on adult learning and development, expert knowledge, and the professionalization of the field of teaching. Students develop skills to direct other educational professionals. ",Mental Health Nursing,UNCC
1976,MDSK 6351 , Advanced Methods in Middle and Secondary Science ,Examination of current research and scholarship on the teaching of science in middle and secondary schools. Particular emphasis on the development of advanced instructional expertise and leadership. ,Mental Health Nursing,UNCC
1977,MDSK 6354 , Advanced Methods in Middle and Secondary Social Studies ,Examination of current research and scholarship on the teaching of social studies in middle and secondary schools. Particular emphasis on the development of advanced instructional expertise and leadership. ,Mental Health Nursing,UNCC
1978,MDSK 6356 , Curriculum Studies ,Examination of the field of curriculum study with particular emphasis on the change process. ,Mental Health Nursing,UNCC
1979,MDSK 6464 , Primary and Secondary Source Analysis ,"Advanced content course for middle and secondary social studies teachers seeking advanced social studies licensure. Provides a focused study of primary and secondary sources that effectively support middle and secondary student understanding of social studies content. Emphases include increased content knowledge of social studies, extensive content research and reading, development of content resources, application of advanced instructional methods through the integration of content resources to support student learning of social studies content, and experience in curriculum evaluation. ",Mental Health Nursing,UNCC
1980,MDSK 6470 , Graduate Student Teaching and Internship ,"Requires a full-time, semester-long graduate student teaching experience of teaching in the appropriate area of licensure. Includes formal observations in the intern’s classroom by university faculty and/or school-based supervisors. Includes seminars. Application required.",Mental Health Nursing,UNCC
1981,MDSK 6691 , Seminar in Professional Development ,"Seminar focused on the self-direction and professional development of teachers. Emphasis placed on the design, development, and completion of the candidate’s comprehensive portfolio, thesis, or research project. ",Mental Health Nursing,UNCC
1982,MEGR 6000 , Research Seminar ,"Presentations on the current research in Mechanical Engineering, Engineering Science, and related fields.  Grading Method:  Graded on a Pass/Unsatisfactory basis.",Middle Grades Education,UNCC
1983,MEGR 6090 , Special Topics ,Directed study of current topics of special interest.,Middle Grades Education,UNCC
1984,MEGR 6109 , Biotechnology and Bioengineering ,"This interdisciplinary course discusses key issues in device design, and heat and mass transport with cell biology, molecular biology, and physiology to introduce students to technological innovations in biotechnology and bioengineering. Credit will not be awarded for MEGR 6109 where credit has been awarded for MEGR 8109 .",Middle Grades Education,UNCC
1985,MEGR 6116 , Fundamentals of Heat Transfer and Fluid Flow ,"A unified treatment of transfer operations developed in terms of physical rate processes; formulation and solution of typical boundary value problems associated with heat, mass and momentum transfer. Credit will not be awarded for MEGR 6116 where credit has been awarded for MEGR 8116 .",Middle Grades Education,UNCC
1986,MEGR 6125 , Vibrations of Continuous Systems ,"Analysis of vibration of continuous linear elastic structures such as strings, rods, beams and plates with varying boundary conditions. Approximate solution techniques such as Rayleigh, Rayleigh-Ritz, and Galerkin are presented. Credit will not be awarded for MEGR 6125 where credit has been awarded for MEGR 8125 .",Middle Grades Education,UNCC
1987,MEGR 6141 , Theory of Elasticity I ,"Introduction to the theory of elastic media; the fundamentals of stress, strain, stress-strain relationships, compatibility and equilibrium.  Applications to two- and three-dimensional problems. Structural mechanics and energy methods. Credit will not be awarded for MEGR 6141 where credit has been awarded for MEGR 8141 .",Middle Grades Education,UNCC
1988,MEGR 6166 , Mechanical Behavior of Materials I ,"Macroscopic and microscopic aspects of elastic and plastic deformation and fracture of engineering materials; applications of dislocation theory to an interpretation and control of mechanical properties; temperature, strain rate and texture effects. Credit will not be awarded for MEGR 6166 where credit has been awarded for MEGR 8166 .",Middle Grades Education,UNCC
1989,MEGR 6181 , Engineering Metrology ,"Introduction to metrology and standards. Uncertainty, precision and accuracy in metrology. Measurement of size and form, computational methods in measurement of form. Measurement of surface texture and out of roundness. Machine tool and robot accuracy and calibration. Evaluation of screw threads and gears. Introduction to design of precision instruments. Credit will not be awarded for MEGR 6181 where credit has been awarded for MEGR 8181 .",Middle Grades Education,UNCC
1990,MEGR 6990 , Industrial Internship ,Full- or part-time academic year internship in engineering complementary to the major course of studies and designed to allow theoretical and course-based practical learning to be applied in a supervised industrial experience. Each student’s program must be approved by their graduate program director. Requires a mid-term report and final report to be graded by the supervising faculty.,Middle Grades Education,UNCC
1991,MEGR 7090 , Special Topics ,Directed study of current topics of special interest for Master’s degree.  ,Middle Grades Education,UNCC
1992,MEGR 7101 , Transport Processes ,"Unified field theory approach to the fluid transport of momentum, energy, mass and electrical charge. Statistical theories of turbulence and molecular transport. Multiphase systems, chemically reacting flows, ionized fluids, separation processes. Credit will not be awarded for MEGR 7101 where credit has been awarded for MEGR 8101 .",Middle Grades Education,UNCC
1993,MEGR 7102 , Introduction to Continua ,"A unified treatment of those topics which are common to all continua. Stress, deformation and velocity fields, constitutive equations and field equations. Representative applications in solid, fluid and electromagnetic continua, including interaction problems. Credit will not be awarded for MEGR 7102 where credit has been awarded for MEGR 8102 .",Middle Grades Education,UNCC
1994,MEGR 7104 , Fabrication of Nanomaterials ,"Lithographic methods (CVD, PVD, e-beam, ion beam, magnetron, evaporation, spin coating, mask fabrication, developing resists); microelectromechanical systems and nanoelectromechanical systems; limits of conventional mechanical processing, electroforming, growth mechanisms (organic, inorganic, thermal); powders. Credit will not be awarded for MEGR 7104 where credit has been awarded for ECGR 7104 or MEGR 8104 .",Middle Grades Education,UNCC
1995,MEGR 7108 , Finite Element Analysis and Applications ,"An introduction to the finite element method and its application to engineering problems. Application of the displacement methods to plane stress, plane strain, plate bending and axisymmetrical bodies. Topics may include, but are not limited to: dynamics, heat conduction, and structural mechanics. Credit will not be awarded for MEGR 7108 where credit has been awarded for MEGR 8108 .",Middle Grades Education,UNCC
1996,MEGR 7110 , Advanced Conductive Heat Transfer ,Theory of steady and unsteady heat conduction in isotropic and anisotropic media. Treatment of concentrated and distributed heat sources. Application of the finite difference and finite element methods. Credit will not be awarded for MEGR 7110 where credit has been awarded for MEGR 8110 .,Middle Grades Education,UNCC
1997,MEGR 7111 , Advanced Engineering Thermodynamics ,"Postulational treatment of the laws of thermodynamics. Equilibrium and maximum entropy postulates. Development of formal relationships and principles for general systems. Applications to chemical, magnetic, electric, and elastic systems. Credit will not be awarded for MEGR 7111 where credit has been awarded for MEGR 8111 .",Middle Grades Education,UNCC
1998,MEGR 7112 , Radiative Heat Transfer ,"Fundamentals of radiation heat transfer, analysis of gray body and wavelength dependent systems; radiation from gases at high temperature, and particulate-laden gases; combined radiation and conduction. Credit will not be awarded for MEGR 7112 where credit has been awarded for MEGR 8112 .",Middle Grades Education,UNCC
1999,MEGR 7113 , Dynamics and Thermodynamics of Compressible Flow ,"Compressible flow equations, isentropic flow, normal shock waves, Fanno and Rayleigh line flows. Nonsteady one dimensional flow. Credit will not be awarded for MEGR 7113 where credit has been awarded for MEGR 8113 .",Middle Grades Education,UNCC
2000,MEGR 7114 , Advanced Fluid Mechanics ,"Unified tensorial-theoretical treatment of the transport of mass, momentum, energy and voracity in fluids. General theorems for inviscid and irrational flows. Viscous effects, boundary layer theory, nonlinear phenomena hydrodynamic instability and turbulence with applications. Credit will not be awarded for MEGR 7114 where credit has been awarded for MEGR 8114 .",Middle Grades Education,UNCC
2001,MEGR 7115 , Convective Heat Transfer ,"Heat and momentum transfer prediction in channel flows and boundary layers. Differential equation methods for fully developed and entry length laminar tube flows. Similarity solution for laminar heat transfer. Superposition methods for non-uniform boundary conditions. Integral equations of the boundary layer, approximate and semiempirical methods of solution. Credit will not be awarded for MEGR 7115 where credit has been awarded for MEGR 8115 .",Middle Grades Education,UNCC
2002,MEGR 7118 , Thermal Environmental Engineering ,"Application of the thermodynamic and heat transfer principles to the analysis of thermal environmental systems. Topics include: thermodynamic properties of moist air, psychometric charts, transfer processes, heating and cooling of moist air coils, physiological effects of thermal environments, food processing and storage. Credit will not be awarded for MEGR 7118 where credit has been awarded for MEGR 8118 .",Middle Grades Education,UNCC
